Species,Length,Weight
Acentrogobius ennorensis,5.8,NA
Acentrogobius griseus,8,NA
Acentrogobius janthinopterus,12.5,NA
Acentrogobius limarius,3.38,NA
Acentrogobius masoni,NA,NA
Acentrogobius moloanus,8,NA
Acentrogobius multifasciatus,NA,NA
Acentrogobius nebulosus,18,NA
Acentrogobius pellidebilis,7,NA
Acentrogobius pflaumii,12,NA
Acentrogobius simplex,10,NA
Acentrogobius suluensis,3.3,NA
Acentrogobius therezieni,10,NA
Acentrogobius vanderloosi,4.77,NA
Acentrogobius viganensis,NA,NA
Acentrogobius violarisi,NA,NA
Acentrogobius viridipunctatus,16.5,NA
Acentronichthys leptos,11,NA
Acentronura breviperula,5,NA
Acentronura gracilissima,NA,NA
Acentronura tentaculata,6.3,NA
Acentrophryne dolichonema,NA,NA
Acentrophryne longidens,NA,NA
Acestridium colombiense,4.95,NA
Acestridium dichromum,6.3,NA
Acestridium discus,6.7,NA
Acestridium gymnogaster,NA,NA
Acestridium martini,6.7,NA
Acestridium scutatum,NA,NA
Acestridium triplax,5.55,NA
Acestrocephalus acutus,10.35,NA
Acestrocephalus anomalus,20,NA
Acestrocephalus boehlkei,13.5,NA
Acestrocephalus maculosus,NA,NA
Acestrocephalus nigrifasciatus,9.3,NA
Acestrocephalus pallidus,6.05,NA
Acestrocephalus sardina,13.5,NA
Acestrocephalus stigmatus,13.5,45
Acestrorhynchus abbreviatus,22,NA
Acestrorhynchus altus,23.3,NA
Acestrorhynchus britskii,16.5,NA
Acestrorhynchus falcatus,30,255
Acestrorhynchus falcirostris,45,NA
Acestrorhynchus grandoculis,10.8,NA
Acestrorhynchus heterolepis,40.8,NA
Acestrorhynchus isalineae,10.1,NA
Acestrorhynchus lacustris,27,NA
Acestrorhynchus maculipinna,7.9,NA
Acestrorhynchus microlepis,37,230
Acestrorhynchus minimus,6.3,NA
Acestrorhynchus nasutus,6.9,NA
Acestrorhynchus pantaneiro,35.2,396
Acheilognathus asmussii,16,NA
Acheilognathus barbatulus,8.4,NA
Acheilognathus barbatus,9,NA
Acheilognathus binidentatus,NA,NA
Acheilognathus brevicaudatus,NA,NA
Acheilognathus changtingensis,6.364,NA
Acheilognathus coreanus,10,NA
Acheilognathus cyanostigma,6,NA
Acheilognathus deignani,5.2,NA
Acheilognathus elongatoides,9.8,NA
Acheilognathus elongatus,19.8,NA
Acheilognathus fasciodorsalis,NA,NA
Acheilognathus gracilis,5.6,NA
Acheilognathus hondae,NA,NA
Acheilognathus hypselonotus,16.5,NA
Acheilognathus imberbis,8,NA
Acheilognathus imfasciodorsalis,NA,NA
Acheilognathus intermedia,13,NA
Acheilognathus kyphus,NA,NA
Acheilognathus longibarbatus,9.2,NA
