Species,Length,Weight
Nothonotus aquali,8,NA
Nothonotus microlepidus,7.2,NA
Nothonotus sanguifluus,9,NA
Nothonotus starnesi,7.6,NA
Notiocampus ruber,16.4,NA
Notocetichthys trunovi,10.9,NA
Notocheirus hubbsi,NA,NA
Notocirrhitus splendens,20,NA
Notoclinops caerulepunctus,3.6,NA
Notoclinops segmentatus,4.4,NA
Notoclinops yaldwyni,5.22,NA
Notoclinus compressus,8.5,NA
Notoclinus fenestratus,18.18,NA
Notoglanidium akiri,10.7,NA
Notoglanidium boutchangai,19.8,NA
Notoglanidium depierrei,17.2,NA
Notoglanidium macrostoma,28.1,NA
Notoglanidium maculatum,5.4,NA
Notoglanidium pallidum,8,NA
Notoglanidium pembetadi,17.94,NA
Notoglanidium thomasi,4.4,NA
Notoglanidium walkeri,10,NA
Notograptus gregoryi,10,NA
Notograptus guttatus,10.6,NA
Notolabrus celidotus,23.9,NA
Notolabrus cinctus,29.9,NA
Notolabrus fucicola,38,NA
Notolabrus gymnogenis,23,NA
Notolabrus inscriptus,50,NA
Notolabrus parilus,NA,NA
Notolabrus tetricus,50,NA
Notolepis annulata,30,NA
Notolepis coatsi,38,NA
Notoliparis antonbruuni,NA,NA
Notoliparis kermadecensis,25.8,NA
Notoliparis kurchatovi,10.8,NA
Notoliparis macquariensis,8.8,NA
Notolychnus valdiviae,6.3,NA
Notolycodes schmidti,38.6,NA
Notomuraenobathys microcephalus,30,NA
Notomyxine tridentiger,57.5,NA
Notophycis fitchi,NA,NA
Notophycis marginata,24,NA
Notopogon armatus,33.75,NA
Notopogon fernandezianus,18,NA
Notopogon lilliei,27,NA
Notopogon macrosolen,33,NA
Notopogon xenosoma,17,NA
Notopterus notopterus,60,NA
Notoraja alisae,51.5,NA
Notoraja azurea,64.5,NA
Notoraja fijiensis,31,NA
Notoraja hirticauda,44.8,NA
Notoraja inusitata,44,NA
Notoraja lira,41.5,NA
Notoraja longiventralis,43.4,NA
Notoraja martinezi,47.5,NA
Notoraja ochroderma,37,NA
Notoraja sapphira,36,NA
Notoraja sereti,NA,NA
Notoraja sticta,62.7,NA
Notoraja tobitukai,50,NA
Notorynchus cepedianus,300,107000
Notoscopelus bolini,10.2,NA
Notoscopelus caudispinosus,14,NA
Notoscopelus elongatus,14.2,NA
Notoscopelus japonicus,13.3,NA
Notoscopelus kroyeri,14.3,NA
Notoscopelus resplendens,9.5,NA
Notothenia angustata,41,NA
Notothenia coriiceps,62,NA
Notothenia cyanobrancha,30,NA
Notothenia microlepidota,70,NA
Notothenia neglecta,45,NA
Notothenia rossii,92,10000
Notothenia trigramma,NA,NA
Nototheniops larseni,24,NA
Nototheniops nybelini,15.9,NA
Nototheniops tchizh,NA,NA
Notropis aguirrepequenoi,4.6,NA
Notropis albizonatus,5.64,NA
Notropis alborus,6,NA
Notropis altipinnis,6.1,NA
Notropis amabilis,6.2,NA
Notropis amecae,4.14,NA
Notropis ammophilus,6,NA
Notropis amoenus,11,NA
Notropis anogenus,5.8,NA
Notropis ariommus,9.5,NA
Notropis asperifrons,7.5,NA
Notropis atherinoides,13,NA
Notropis atrocaudalis,7.6,NA
Notropis aulidion,NA,NA
Notropis baileyi,9,NA
Notropis bairdi,8,NA
Notropis bifrenatus,6.5,NA
Notropis blennius,13,NA
Notropis boops,9,NA
Notropis boucardi,NA,NA
Notropis braytoni,6.9,NA
Notropis buccatus,9.8,NA
Notropis buccula,7.1,NA
Notropis buchanani,6.4,NA
Notropis cahabae,7.5,NA
Notropis calabazas,2.68,NA
Notropis calientis,NA,NA
Notropis candidus,11,NA
Notropis chalybaeus,6.5,NA
Notropis chihuahua,8,NA
Notropis chiliticus,7.2,NA
Notropis chlorocephalus,7.2,NA
Notropis chrosomus,8.1,NA
Notropis cumingii,NA,NA
Notropis cummingsae,7.2,NA
Notropis dorsalis,8,NA
Notropis edwardraneyi,8,NA
Notropis girardi,8,NA
Notropis grandis,4.557,NA
Notropis greenei,7.5,NA
Notropis harperi,6,NA
Notropis heterodon,7.1,NA
Notropis heterolepis,9.8,NA
Notropis hudsonius,15,NA
Notropis hypsilepis,5.1,NA
Notropis imeldae,NA,NA
Notropis jemezanus,7.5,NA
Notropis leuciodus,8.2,NA
Notropis longirostris,6.5,NA
Notropis lutipinnis,7.5,NA
Notropis maculatus,7.6,NA
Notropis marhabatiensis,5.08,NA
Notropis mekistocholas,7.7,NA
Notropis melanostomus,3.8,NA
Notropis micropteryx,NA,NA
Notropis moralesi,NA,NA
Notropis nazas,NA,NA
Notropis nubilus,9.3,NA
Notropis orca,9,NA
Notropis ortenburgeri,5.5,NA
Notropis oxyrhynchus,9.5,NA
Notropis ozarcanus,7.5,NA
Notropis percobromus,NA,NA
Notropis perpallidus,5,NA
Notropis petersoni,8.2,NA
Notropis photogenis,14,NA
Notropis potteri,11,NA
Notropis procne,7.2,NA
Notropis rafinesquei,NA,NA
Notropis rubellus,9,NA
Notropis rubricroceus,8.4,NA
Notropis rupestris,6.96,NA
Notropis sabinae,5.7,NA
Notropis saladonis,NA,NA
Notropis scabriceps,8.4,NA
Notropis scepticus,9,NA
Notropis semperasper,9,NA
Notropis shumardi,10,NA
Notropis simus,10,NA
Notropis spectrunculus,7.9,NA
Notropis stilbius,9,NA
Notropis stramineus,8.2,NA
Notropis suttkusi,4.44,NA
Notropis telescopus,11.5,NA
Notropis texanus,8.6,NA
Notropis topeka,7.6,NA
Notropis tropicus,NA,NA
Notropis uranoscopus,7.1,NA
Notropis volucellus,7.6,NA
Notropis wickliffi,7.8,NA
Notropis xaenocephalus,7.9,NA
Noturus albater,12,NA
Noturus baileyi,7.3,NA
Noturus crypticus,6.47,NA
Noturus elegans,7.4,NA
Noturus eleutherus,13,NA
Noturus exilis,15,NA
Noturus fasciatus,8.5,NA
Noturus flavater,18,NA
Noturus flavipinnis,15,NA
Noturus flavus,31,NA
Noturus funebris,15,NA
Noturus furiosus,12,NA
Noturus gilberti,10,NA
Noturus gladiator,10.65,NA
Noturus gyrinus,13,NA
Noturus hildebrandi,6.9,NA
Noturus insignis,15,NA
Noturus lachneri,10,NA
Noturus leptacanthus,9.4,NA
Noturus maydeni,8.064,NA
Noturus miurus,13,NA
Noturus munitus,9.5,NA
Noturus nocturnus,15,NA
Noturus phaeus,15,NA
Noturus placidus,8.7,NA
Noturus stanauli,4.2,NA
Noturus stigmosus,13,NA
Noturus taylori,7.7,NA
Noturus trautmani,6.1,NA
Novaculichthys taeniourus,30,NA
Novaculoides macrolepidotus,16,NA
Novaculops alvheimi,9.6,NA
Novaculops halsteadi,12.02,NA
Novaculops koteamea,25.9,NA
Novaculops pastellus,11.7,NA
Novaculops sciistius,6.2,NA
Novaculops woodi,19.3,NA
Novumbra hubbsi,8,NA
Nuchequula blochii,10,NA
Nuchequula flavaxilla,10.9,NA
Nuchequula gerreoides,12.5,NA
Nuchequula glenysae,7.3,NA
Nuchequula longicornis,7.9,NA
Nuchequula mannusella,10.1,NA
Nuchequula nuchalis,25,NA
Nudiantennarius subteres,7.5,NA
Nyassachromis boadzulu,14,NA
Nyassachromis breviceps,15.4,NA
Nyassachromis leuciscus,16,NA
Nyassachromis microcephalus,15,NA
Nyassachromis nigritaeniatus,21,NA
Nyassachromis prostoma,11.5,NA
Nyassachromis purpurans,18,NA
Nyassachromis serenus,25,NA
Nybelinella brevidorsalis,NA,NA
Nybelinella erikssoni,8,NA
Oblada melanura,36.6,525
Obliquogobius cirrifer,2.88,NA
Obliquogobius cometes,NA,NA
Obliquogobius fluvostriatus,2.43,NA
Obliquogobius megalops,NA,NA
Obliquogobius turkayi,NA,NA
Obliquogobius yamadai,5.16,NA
Occella dodecaedron,21.6,NA
Occella iburia,21.2,NA
Occella kasawae,NA,NA
Occella kuronumai,NA,NA
Occidentarius platypogon,50,NA
Ochetobius elongatus,40,NA
Ochmacanthus alternus,4,NA
Ochmacanthus batrachostomus,3.2,NA
Ochmacanthus flabelliferus,3.5,NA
Ochmacanthus orinoco,4.6,NA
Ochmacanthus reinhardtii,5,NA
Ocosia apia,5.32,NA
Ocosia fasciata,6,NA
Ocosia possi,7.78,NA
Ocosia ramaraoi,8.19,NA
Ocosia sphex,3.86,NA
Ocosia spinosa,NA,NA
Ocosia vespa,8,NA
Ocosia zaspilota,6.95,NA
Ocynectes maschalis,10,NA
Ocynectes modestus,7,NA
Ocyurus chrysurus,86.3,4070
Odax cyanoallix,27,NA
Odax pullus,40,1500
Odaxothrissa ansorgii,13,NA
Odaxothrissa losera,13,NA
Odaxothrissa mento,13,NA
Odondebuenia balearica,3.2,NA
Odontamblyopus lacepedii,30.3,NA
Odontamblyopus rebecca,14.1,NA
Odontamblyopus roseus,13.4,NA
Odontamblyopus rubicundus,33.4,NA
Odontamblyopus tenuis,12.8,NA
Odontanthias borbonius,15,NA
Odontanthias caudicinctus,10,NA
Odontanthias chrysostictus,20,NA
Odontanthias dorsomaculatus,13.4,NA
Odontanthias elizabethae,10.9,NA
Odontanthias flagris,20,NA
Odontanthias fuscipinnis,15.3,NA
Odontanthias grahami,9.4,NA
Odontanthias hensleyi,15.5,NA
Odontanthias katayamai,16.3,NA
Odontanthias randalli,21.2,NA
Odontanthias rhodopeplus,16,NA
Odontanthias tapui,14.5,NA
Odontanthias unimaculatus,20,NA
Odontanthias wassi,NA,NA
Odontaspis ferox,450,289000
Odontaspis noronhai,367,NA
Odonteleotris canina,NA,NA
Odonteleotris macrodon,27.8,NA
Odonteleotris polylepis,NA,NA
Odontesthes argentinensis,42.1,NA
Odontesthes bicudo,22.15,NA
Odontesthes bonariensis,50,NA
Odontesthes brevianalis,NA,NA
Odontesthes gracilis,6.5,NA
Odontesthes hatcheri,NA,NA
Odontesthes humensis,19.82,NA
Odontesthes incisa,10,NA
Odontesthes ledae,20.25,NA
Odontesthes mauleanum,11,NA
Odontesthes mirinensis,14.84,NA
Odontesthes nigricans,21.6,NA
Odontesthes orientalis,NA,NA
Odontesthes perugiae,NA,NA
Odontesthes piquava,26.31,NA
Odontesthes platensis,11.9,NA
Odontesthes regia,17.2,NA
Odontesthes retropinnis,20.31,NA
Odontesthes smitti,26.2,NA
Odontesthes wiebrichi,NA,NA
Odontesthes yucuman,16.87,NA
Odontobutis haifengensis,10.7,NA
Odontobutis hikimius,15.62,NA
Odontobutis interrupta,17,NA
Odontobutis obscura,17.5,NA
Odontobutis platycephala,20.2,NA
Odontobutis potamophila,15.2,NA
Odontobutis sinensis,18.1,NA
Odontobutis yaluensis,NA,NA
Odontocharacidium aphanes,1.65,NA
Odontognathus compressus,15,NA
Odontognathus mucronatus,19.2,21.4
Odontognathus panamensis,17,NA
Odontomacrurus murrayi,64,NA
Odontopyxis trispinosa,9.5,NA
Odontoscion dentex,30,13.7
Odontoscion eurymesops,25,NA
Odontoscion xanthops,30,NA
Odontostilbe dialeptura,3.43,NA
Odontostilbe dierythrura,NA,NA
Odontostilbe ecuadorensis,4.58,NA
Odontostilbe euspilurus,NA,NA
Odontostilbe fugitiva,4.4,NA
Odontostilbe littoris,1.8,NA
Odontostilbe microcephala,4.6,NA
Odontostilbe mitoptera,3.68,NA
Odontostilbe nareuda,3.79,NA
Odontostilbe pao,2.93,NA
Odontostilbe paraguayensis,4,NA
Odontostilbe parecis,3.9,NA
Odontostilbe pequira,5.6,NA
Odontostilbe pulchra,3.72,NA
Odontostilbe roloffi,4.21,NA
Odontostilbe splendida,3.64,NA
Odontostilbe stenodon,3.3,NA
Odontostoechus lethostigmus,6.65,NA
Odontostomias masticopogon,20,NA
Odontostomias micropogon,29.5,NA
Odontostomops normalops,12.3,NA
Odonus niger,50,NA
Oedalechilus labeo,25,NA
Ogcocephalus corniger,23,NA
Ogcocephalus cubifrons,38,NA
Ogcocephalus darwini,20.3,NA
Ogcocephalus declivirostris,16.5,NA
Ogcocephalus nasutus,38,NA
Ogcocephalus notatus,13.38,NA
Ogcocephalus pantostictus,31,NA
Ogcocephalus parvus,10,5.8
Ogcocephalus porrectus,13.85,NA
Ogcocephalus pumilus,6.1,NA
Ogcocephalus radiatus,38,NA
Ogcocephalus rostellum,19,NA
Ogcocephalus vespertilio,30.5,60.8
Ogilbia boehlkei,7,NA
Ogilbia boydwalkeri,6.1,NA
Ogilbia cayorum,6,NA
Ogilbia cocoensis,3.8,NA
Ogilbia davidsmithi,9.9,NA
Ogilbia deroyi,7,NA
Ogilbia galapagosensis,5.8,NA
Ogilbia jeffwilliamsi,5.6,NA
Ogilbia jewettae,6.8,NA
Ogilbia mccoskeri,6.5,NA
Ogilbia nigromarginata,7.7,NA
Ogilbia nudiceps,5.3,NA
Ogilbia robertsoni,7.1,NA
Ogilbia sabaji,5,NA
Ogilbia sedorae,5.9,NA
Ogilbia suarezae,7.5,NA
Ogilbia tyleri,5,NA
Ogilbia ventralis,7.8,NA
Ogilbichthys ferocis,NA,NA
Ogilbichthys haitiensis,2.2,NA
Ogilbichthys kakuki,6.7,NA
Ogilbichthys longimanus,NA,NA
Ogilbichthys microphthalmus,NA,NA
Ogilbichthys puertoricoensis,3.4,NA
Ogilbichthys tobagoensis,2.9,NA
Ogilbyina novaehollandiae,10,NA
Ogilbyina queenslandiae,15,NA
Ogilbyina salvati,5.9,NA
Oidiphorus brevis,11.5,NA
Oidiphorus mcallisteri,11.1,NA
Okamejei acutispina,NA,NA
Okamejei arafurensis,40.7,NA
Okamejei boesemani,55,NA
Okamejei cairae,36,NA
Okamejei heemstrai,51.5,NA
Okamejei hollandi,42,NA
Okamejei kenojei,57,750
Okamejei leptoura,48.6,NA
Okamejei meerdervoortii,37,NA
Okamejei mengae,NA,NA
Okamejei ornata,41.8,NA
Okamejei philipi,NA,NA
Okamejei schmidti,NA,NA
Oligancistrus punctatissimus,10.6,NA
Oligobrycon microstomus,3.9,NA
Oligocottus maculosus,8.9,NA
Oligocottus rimensis,6.4,NA
Oligocottus rubellio,10,NA
Oligocottus snyderi,8.9,NA
Oligolepis acutipennis,15,NA
Oligolepis cylindriceps,3,NA
Oligolepis dasi,NA,NA
Oligolepis formosanus,5,NA
Oligolepis jaarmani,NA,NA
Oligolepis keiensis,7,NA
Oligolepis stomias,NA,NA
Oligoplites altus,56,1580
Oligoplites palometa,49.7,900
Oligoplites refulgens,25,NA
Oligoplites saliens,50,900
Oligoplites saurus,35,287
Oligosarcus acutirostris,16,NA
Oligosarcus amome,12.51,NA
Oligosarcus argenteus,10.5,NA
Oligosarcus bolivianus,14.7,NA
Oligosarcus brevioris,28,218
Oligosarcus hepsetus,32,NA
Oligosarcus itau,NA,NA
Oligosarcus jacuiensis,18.8,NA
Oligosarcus jenynsii,31,330
Oligosarcus longirostris,22.5,266.8
Oligosarcus macrolepis,7.7,NA
Oligosarcus menezesi,13.8,NA
Oligosarcus oligolepis,11.2,NA
Oligosarcus paranensis,20.5,NA
Oligosarcus perdido,9.78,NA
Oligosarcus pintoi,8.8,NA
Oligosarcus planaltinae,9.9,NA
Oligosarcus platensis,9.7,NA
Oligosarcus robustus,31.3,307.5
Oligosarcus schindleri,8.2,NA
Oligosarcus solitarius,16.2,NA
Oligosarcus varii,19.7,NA
Oliotius oligolepis,5,NA
Olisthops cyanomelas,35,NA
Olivaichthys cuyanus,21.8,NA
Olivaichthys mesembrinus,16.8,NA
Olivaichthys viedmensis,32.4,NA
Oloplotosus luteus,15,NA
Oloplotosus mariae,15,NA
Oloplotosus torobo,20,NA
Olyra astrifera,3.3,NA
Olyra burmanica,11,NA
Olyra collettii,5.82,NA
Olyra horae,6.84,NA
Olyra kempi,14.5,NA
Olyra longicaudata,11,NA
Olyra saginata,8.58,NA
Oman ypsilon,4,NA
Omegophora armilla,25,NA
Omegophora cyanopunctata,NA,NA
Omobranchus anolius,7.5,NA
Omobranchus aurosplendidus,NA,NA
Omobranchus banditus,6,NA
Omobranchus elegans,6,NA
Omobranchus elongatus,5,NA
Omobranchus fasciolatoceps,NA,NA
Omobranchus fasciolatus,6.8,NA
Omobranchus ferox,6,NA
Omobranchus germaini,8,NA
Omobranchus hikkaduwensis,NA,NA
Omobranchus loxozonus,NA,NA
Omobranchus mekranensis,6,NA
Omobranchus obliquus,5.6,NA
Omobranchus punctatus,9.5,NA
Omobranchus robertsi,NA,NA
Omobranchus rotundiceps,NA,NA
Omobranchus smithi,NA,NA
Omobranchus steinitzi,3.2,NA
Omobranchus verticalis,4.8,NA
Omobranchus woodi,8,NA
Omobranchus zebra,6,NA
Omosudis lowii,23,NA
Omox biporos,4.6,NA
Omox lupus,3.5,NA
Ompok argestes,14.7,NA
Ompok bimaculatus,45,NA
Ompok binotatus,9.05,NA
Ompok borneensis,14.88,NA
Ompok brevirictus,12.5,NA
Ompok canio,NA,NA
Ompok ceylonensis,28.9,NA
Ompok eugeneiatus,16.5,NA
Ompok fumidus,15,NA
Ompok goae,21.6,NA
Ompok hypophthalmus,30,NA
Ompok javanensis,NA,NA
Ompok jaynei,15.17,NA
Ompok karunkodu,22.91,NA
Ompok leiacanthus,19,NA
Ompok malabaricus,51,NA
Ompok miostoma,21.38,NA
Ompok pabda,30,NA
Ompok pabo,25,NA
Ompok pinnatus,10,NA
Ompok platyrhynchus,7.89,NA
Ompok pluriradiatus,11.17,NA
Ompok rhadinurus,21.44,NA
Ompok siluroides,21.44,NA
Ompok sindensis,NA,NA
Ompok supernus,16.07,NA
Ompok urbaini,18.1,NA
Ompok weberi,7.9,NA
Oncopterus darwinii,30.35,NA
Oncorhynchus aguabonita,71,4980
Oncorhynchus apache,58,2360
Oncorhynchus chrysogaster,NA,NA
Oncorhynchus clarkii,99,18600
Oncorhynchus formosanus,30,NA
Oncorhynchus gilae,32,NA
Oncorhynchus gorbuscha,76,6800
Oncorhynchus iwame,NA,NA
Oncorhynchus kawamurae,23.3,NA
Oncorhynchus keta,100,15870
Oncorhynchus kisutch,107.95,15170
Oncorhynchus masou,79,10000
Oncorhynchus mykiss,122,25400
Oncorhynchus nerka,84,7710
Oncorhynchus rhodurus,44.2,1250
Oncorhynchus tshawytscha,150,61400
Oneirodes acanthias,20,NA
Oneirodes alius,3.8,NA
Oneirodes anisacanthus,1.3,NA
Oneirodes basili,NA,NA
Oneirodes bradburyae,NA,NA
Oneirodes bulbosus,23,450
Oneirodes carlsbergi,NA,NA
Oneirodes clarkei,NA,NA
Oneirodes cristatus,NA,NA
Oneirodes dicromischus,3.5,NA
Oneirodes epithales,NA,NA
Oneirodes eschrichtii,28.8,NA
Oneirodes flagellifer,7,NA
Oneirodes haplonema,NA,NA
Oneirodes heteronema,NA,NA
Oneirodes kreffti,11.1,NA
Oneirodes luetkeni,16,NA
Oneirodes macronema,NA,NA
Oneirodes macrosteus,NA,NA
Oneirodes melanocauda,NA,NA
Oneirodes micronema,8.9,NA
Oneirodes mirus,3.2,NA
Oneirodes myrionemus,NA,NA
Oneirodes notius,NA,NA
Oneirodes pietschi,11.7,NA
Oneirodes plagionema,NA,NA
Oneirodes posti,NA,NA
Oneirodes pterurus,NA,NA
Oneirodes rosenblatti,NA,NA
Oneirodes sabex,13.5,NA
Oneirodes schistonema,NA,NA
Oneirodes schmidti,9.2,NA
Oneirodes theodoritissieri,NA,NA
Oneirodes thompsoni,21,400
Oneirodes thysanema,NA,NA
Onigocia bimaculata,6.6,NA
Onigocia grandisquama,6.2,NA
Onigocia lacrimalis,14.37,NA
Onigocia macrolepis,15,NA
Onigocia oligolepis,10,NA
Onigocia pedimacula,11,NA
Onigocia sibogae,NA,NA
Onigocia spinosa,25,NA
Onuxodon fowleri,10,NA
Onuxodon margaritiferae,10,NA
Onuxodon parvibrachium,10,NA
Onychostoma alticorpus,50,NA
Onychostoma angustistomata,18.9,NA
Onychostoma barbatulum,22.5,NA
Onychostoma barbatum,17.57,NA
Onychostoma breve,14.6,NA
Onychostoma daduense,15.5,NA
Onychostoma dongnaiensis,1.96,NA
Onychostoma elongatum,11.5,NA
Onychostoma fangi,29.5,220.3
Onychostoma fusiforme,23,NA
Onychostoma gerlachi,31.64,1000
Onychostoma krongnoensis,2.38,NA
Onychostoma laticeps,NA,NA
Onychostoma leptura,23.82,NA
Onychostoma lini,25.32,NA
Onychostoma macrolepis,26.5,296.7
Onychostoma meridionale,14,NA
Onychostoma minnanensis,12.4,NA
Onychostoma ovale,34.36,1000
Onychostoma rarum,29.1,NA
Onychostoma simum,34.5,NA
Onychostoma uniforme,NA,NA
Onychostoma virgulatum,14.57,NA
Oostethus insularis,NA,NA
Oostethus jagorii,16,NA
Opaeophacus acrogeneius,15.3,NA
Opeatogenys cadenati,2.1,NA
Opeatogenys gracilis,3,NA
Ophichthus alleni,NA,NA
Ophichthus altipennis,120,NA
Ophichthus aniptocheilos,14.2,NA
Ophichthus apachus,23.1,NA
Ophichthus aphotistos,NA,NA
Ophichthus apicalis,45,NA
Ophichthus arneutes,30.6,NA
Ophichthus asakusae,70,NA
Ophichthus bicolor,92.7,NA
Ophichthus bonaparti,75,NA
Ophichthus brachynotopterus,46.1,NA
Ophichthus brasiliensis,NA,NA
Ophichthus brevicaudatus,NA,NA
Ophichthus brevirostris,NA,NA
Ophichthus celebicus,NA,NA
Ophichthus cephalozona,115,NA
Ophichthus congroides,52.2,NA
Ophichthus cruentifer,46.7,NA
Ophichthus cylindroideus,93.3,NA
Ophichthus echeloides,51,NA
Ophichthus erabo,72,NA
Ophichthus exourus,66.9,NA
Ophichthus fasciatus,11.48,NA
Ophichthus fowleri,92,NA
Ophichthus frontalis,86,NA
Ophichthus genie,33.7,NA
Ophichthus gomesii,91.4,NA
Ophichthus grandoculis,NA,NA
Ophichthus hirritus,52.8,NA
Ophichthus humanni,66.9,NA
Ophichthus hyposagmatus,NA,NA
Ophichthus ishiyamorum,43.7,NA
Ophichthus kunaloa,47.3,NA
Ophichthus lentiginosus,62.8,NA
Ophichthus leonensis,23.2,NA
Ophichthus limkouensis,NA,NA
Ophichthus lithinus,NA,NA
Ophichthus longipenis,58.7,NA
Ophichthus macrochir,92,NA
Ophichthus macrops,NA,NA
Ophichthus maculatus,NA,NA
Ophichthus manilensis,NA,NA
Ophichthus marginatus,47,NA
Ophichthus mecopterus,27.4,NA
Ophichthus megalops,33.2,NA
Ophichthus melanoporus,70,NA
Ophichthus melope,27,NA
Ophichthus menezesi,NA,NA
Ophichthus microstictus,48.9,NA
Ophichthus mystacinus,42.9,NA
Ophichthus omorgmus,NA,NA
Ophichthus ophis,210,NA
Ophichthus polyophthalmus,62.5,NA
Ophichthus pullus,58.5,NA
Ophichthus puncticeps,81,NA
Ophichthus remiger,85,NA
Ophichthus retrodorsalis,NA,NA
Ophichthus rex,211,23580
Ophichthus roseus,NA,NA
Ophichthus rotundus,79.3,NA
Ophichthus rufus,60,NA
Ophichthus rugifer,68,NA
Ophichthus rutidoderma,95,NA
Ophichthus serpentinus,68,NA
Ophichthus shaoi,62.3,NA
Ophichthus singapurensis,NA,NA
Ophichthus spinicauda,107,NA
Ophichthus stenopterus,NA,NA
Ophichthus tchangi,NA,NA
Ophichthus tetratrema,NA,NA
Ophichthus tomioi,44.7,NA
Ophichthus triserialis,121.5,373.25
Ophichthus tsuchidae,50,NA
Ophichthus unicolor,30,NA
Ophichthus urolophus,61.5,NA
Ophichthus woosuitingi,NA,NA
Ophichthus zophochir,98,NA
Ophiclinops hutchinsi,9.5,NA
Ophiclinops pardalis,7,NA
Ophiclinops varius,5,NA
Ophiclinus antarcticus,14,NA
Ophiclinus brevipinnis,7,NA
Ophiclinus gabrieli,16,NA
Ophiclinus gracilis,10,NA
Ophiclinus ningulus,7.5,NA
Ophiclinus pectoralis,6,NA
Ophidion antipholus,21,NA
Ophidion asiro,20,NA
Ophidion barbatum,25.4,NA
Ophidion dromio,14.6,NA
Ophidion exul,9.6,NA
Ophidion fulvum,18,NA
Ophidion galeoides,21.5,NA
Ophidion genyopus,NA,NA
Ophidion grayi,30,NA
Ophidion guianense,NA,NA
Ophidion holbrookii,30,NA
Ophidion imitator,19.1,NA
Ophidion iris,25,NA
Ophidion josephi,25,NA
Ophidion lagochila,6.95,NA
Ophidion lozanoi,NA,NA
Ophidion marginatum,25,NA
Ophidion metoecus,11.3,NA
Ophidion muraenolepis,15.5,NA
Ophidion nocomis,8.7,NA
Ophidion puck,13.83,NA
Ophidion robinsi,NA,NA
Ophidion rochei,29.25,NA
Ophidion saldanhai,14.95,NA
Ophidion scrippsae,28,NA
Ophidion selenops,10,NA
Ophidion smithi,14,NA
Ophioblennius atlanticus,19,NA
Ophioblennius clippertonensis,NA,NA
Ophioblennius macclurei,12.2,NA
Ophioblennius steindachneri,18,NA
Ophioblennius trinitatis,5.63,NA
Ophiocara macrolepidota,25,NA
Ophiocara porocephala,34,NA
Ophiodon elongatus,152,59110
Ophiogobius jenynsi,NA,NA
Ophioscion adustus,NA,NA
Ophioscion costaricensis,NA,NA
Ophioscion imiceps,25,NA
Ophioscion panamensis,9.05,NA
Ophioscion punctatissimus,25,NA
Ophioscion scierus,35,NA
Ophioscion simulus,30,NA
Ophioscion strabo,30,NA
Ophioscion typicus,30,NA
Ophioscion vermicularis,35,NA
Ophisternon aenigmaticum,80,NA
Ophisternon afrum,53.5,NA
Ophisternon bengalense,100,NA
Ophisternon candidum,40,NA
Ophisternon gutturale,60,NA
Ophisternon infernale,NA,NA
Ophisurus macrorhynchos,140,NA
Ophisurus serpens,250,NA
Ophthalmolebias ilheusensis,NA,NA
Ophthalmolepis lineolata,40,NA
Ophthalmolycus amberensis,35,NA
Ophthalmolycus andersoni,26.3,NA
Ophthalmolycus bothriocephalus,18.3,NA
Ophthalmolycus campbellensis,15.7,NA
Ophthalmolycus chilensis,27.1,NA
Ophthalmolycus conorhynchus,23,NA
Ophthalmolycus eastmani,36.9,NA
Ophthalmolycus macrops,14.6,NA
Ophthalmolycus polylepis,30,NA
Ophthalmotilapia boops,15,NA
Ophthalmotilapia heterodonta,14.4,NA
Ophthalmotilapia nasuta,20,NA
Ophthalmotilapia ventralis,15,NA
Opisthocentrus ocellatus,20,NA
Opisthocentrus tenuis,15,NA
Opisthocentrus zonope,12,NA
Opisthonema berlangai,26,NA
Opisthonema bulleri,20,NA
Opisthonema libertate,30,NA
Opisthonema medirastre,30,NA
Opisthonema oglinum,38,375
Opisthoproctus soleatus,10.5,NA
Opisthopterus dovii,23,NA
Opisthopterus effulgens,20.5,NA
Opisthopterus equatorialis,14.6,NA
Opisthopterus macrops,18,NA
Opisthopterus tardoore,20,NA
Opisthopterus valenciennesi,20,NA
Opistognathus adelus,4.89,NA
Opistognathus afer,4.13,NA
Opistognathus albicaudatus,9.48,NA
Opistognathus alleni,7.37,NA
Opistognathus aurifrons,10,NA
Opistognathus brasiliensis,12.92,NA
Opistognathus brochus,5.4,NA
Opistognathus castelnaui,25,NA
Opistognathus crassus,3.55,NA
Opistognathus cuvierii,11.35,NA
Opistognathus cyanospilotus,13,NA
Opistognathus darwiniensis,50,NA
Opistognathus decorus,14.97,NA
Opistognathus dendriticus,28,NA
Opistognathus dipharus,4.72,NA
Opistognathus elizabethensis,7.14,NA
Opistognathus evermanni,11,NA
Opistognathus eximius,NA,NA
Opistognathus fenmutis,27.1,NA
Opistognathus fossoris,9.42,NA
Opistognathus galapagensis,16,NA
Opistognathus gilberti,6.35,NA
Opistognathus hongkongiensis,NA,NA
Opistognathus hopkinsi,10.68,NA
Opistognathus inornatus,55,NA
Opistognathus iyonis,6,NA
Opistognathus jacksoniensis,NA,NA
Opistognathus latitabundus,30,NA
Opistognathus leprocarus,8.12,NA
Opistognathus liturus,5.53,NA
Opistognathus lonchurus,10,NA
Opistognathus longinaris,4.1,NA
Opistognathus macrognathus,20,NA
Opistognathus macrolepis,NA,NA
Opistognathus margaretae,9.2,NA
Opistognathus maxillosus,13,NA
Opistognathus megalepis,NA,NA
Opistognathus melachasme,10,NA
