Year,Plot,Day,Light quantity,Soil moisture,Photoperiod,Bud type,Bud counts,Min temp,Mean temp,Median temp,Max temp,Var temp,SD temp
2016,7,118,151,26.58,13.716666666666667,Cleistogamous,0,11.5,12.291666666666666,12.5,13,0.24810606060606066,0.498102459947811
2016,7,118,151,26.58,13.716666666666667,Chasmogamous,12,11.5,12.291666666666666,12.5,13,0.24810606060606066,0.498102459947811
2016,7,125,80,30.64,13.966666666666667,Chasmogamous,0,14.5,14.75,14.75,15,0.06818181818181818,0.26111648393354675
2016,7,125,80,30.64,13.966666666666667,Cleistogamous,46,14.5,14.75,14.75,15,0.06818181818181818,0.26111648393354675
2016,7,132,16.054000000000002,30.48,14.216666666666667,Cleistogamous,18,17.5,17.666666666666668,17.5,18,0.060606060606060615,0.24618298195866548
2016,7,132,16.054000000000002,30.48,14.216666666666667,Chasmogamous,0,17.5,17.666666666666668,17.5,18,0.060606060606060615,0.24618298195866548
2016,7,140,13.66,29.16,14.45,Chasmogamous,0,14,14.416666666666666,14.5,15.5,0.2196969696969697,0.468718433280546
2016,7,140,13.66,29.16,14.45,Cleistogamous,23,14,14.416666666666666,14.5,15.5,0.2196969696969697,0.468718433280546
2016,7,152,96.06,22.4,14.733333333333333,Chasmogamous,0,22,23.083333333333332,23.25,23.5,0.2651515151515151,0.5149286505444371
2016,7,152,96.06,22.4,14.733333333333333,Cleistogamous,12,22,23.083333333333332,23.25,23.5,0.2651515151515151,0.5149286505444371
2016,7,182,2.76,11.4,14.883333333333333,Cleistogamous,0,18.5,19.333333333333332,19.25,20,0.24242424242424238,0.4923659639173309
2016,7,182,2.76,11.4,14.883333333333333,Chasmogamous,0,18.5,19.333333333333332,19.25,20,0.24242424242424238,0.4923659639173309
2016,8,96,463.62,25.46,12.833333333333334,Cleistogamous,0,5,5.75,6,6,0.11363636363636363,0.337099931231621
2016,8,96,463.62,25.46,12.833333333333334,Chasmogamous,13,5,5.75,6,6,0.11363636363636363,0.337099931231621
2016,8,104,884.2,29.34,13.166666666666666,Cleistogamous,0,13.5,14.666666666666666,14.75,16,0.5151515151515152,0.7177405625652735
2016,8,104,884.2,29.34,13.166666666666666,Chasmogamous,4,13.5,14.666666666666666,14.75,16,0.5151515151515152,0.7177405625652735
2016,8,109,307,24.599999999999998,13.366666666666667,Cleistogamous,0,25.5,28.416666666666668,29.5,30.5,3.71969696969697,1.928651593652148
2016,8,109,307,24.599999999999998,13.366666666666667,Chasmogamous,6,25.5,28.416666666666668,29.5,30.5,3.71969696969697,1.928651593652148
2016,8,118,137.8,28.18,13.716666666666667,Cleistogamous,0,11.5,12.291666666666666,12.5,13,0.24810606060606066,0.498102459947811
2016,8,118,137.8,28.18,13.716666666666667,Chasmogamous,11,11.5,12.291666666666666,12.5,13,0.24810606060606066,0.498102459947811
2016,8,125,32.32,28.18,13.966666666666667,Chasmogamous,0,14.5,14.75,14.75,15,0.06818181818181818,0.26111648393354675
2016,8,125,32.32,28.18,13.966666666666667,Cleistogamous,22,14.5,14.75,14.75,15,0.06818181818181818,0.26111648393354675
2016,8,132,21.169999999999998,29.74,14.216666666666667,Cleistogamous,11,17.5,17.666666666666668,17.5,18,0.060606060606060615,0.24618298195866548
2016,8,132,21.169999999999998,29.74,14.216666666666667,Chasmogamous,0,17.5,17.666666666666668,17.5,18,0.060606060606060615,0.24618298195866548
2016,8,140,7.0280000000000005,31.560000000000002,14.45,Chasmogamous,0,14,14.416666666666666,14.5,15.5,0.2196969696969697,0.468718433280546
2016,8,140,7.0280000000000005,31.560000000000002,14.45,Cleistogamous,13,14,14.416666666666666,14.5,15.5,0.2196969696969697,0.468718433280546
2016,8,152,4.104,24.240000000000002,14.733333333333333,Cleistogamous,3,22,23.083333333333332,23.25,23.5,0.2651515151515151,0.5149286505444371
2016,8,152,4.104,24.240000000000002,14.733333333333333,Chasmogamous,0,22,23.083333333333332,23.25,23.5,0.2651515151515151,0.5149286505444371
2016,8,182,1.632,11.8,14.883333333333333,Chasmogamous,0,18.5,19.333333333333332,19.25,20,0.24242424242424238,0.4923659639173309
2016,8,182,1.632,11.8,14.883333333333333,Cleistogamous,2,18.5,19.333333333333332,19.25,20,0.24242424242424238,0.4923659639173309
2016,9,96,516,20.24,12.833333333333334,Chasmogamous,3,5,5.833333333333333,6,6,0.10606060606060606,0.3256694736394648
2016,9,96,516,20.24,12.833333333333334,Cleistogamous,0,5,5.833333333333333,6,6,0.10606060606060606,0.3256694736394648
2016,9,104,506.2,30.06,13.166666666666666,Chasmogamous,5,9,9.791666666666666,9.75,10.5,0.20265151515151517,0.45016831868926
2016,9,104,506.2,30.06,13.166666666666666,Cleistogamous,0,9,9.791666666666666,9.75,10.5,0.20265151515151517,0.45016831868926
2016,9,109,980.6,17.04,13.366666666666667,Cleistogamous,0,19,21.125,20.5,23,1.9602272727272727,1.4000811664783126
2016,9,109,980.6,17.04,13.366666666666667,Chasmogamous,1,19,21.125,20.5,23,1.9602272727272727,1.4000811664783126
2016,9,118,251.6,28.64,13.716666666666667,Cleistogamous,0,13,13.333333333333334,13.25,14,0.1515151515151515,0.38924947208076144
2016,9,118,251.6,28.64,13.716666666666667,Chasmogamous,3,13,13.333333333333334,13.25,14,0.1515151515151515,0.38924947208076144
2016,9,125,96.62,27.8,13.966666666666667,Cleistogamous,6,14,14.458333333333334,14.5,15,0.06628787878787877,0.2574643252722186
2016,9,125,96.62,27.8,13.966666666666667,Chasmogamous,0,14,14.458333333333334,14.5,15,0.06628787878787877,0.2574643252722186
2016,9,132,32.592,28.98,14.216666666666667,Cleistogamous,0,15,15.583333333333334,15.5,16,0.08333333333333331,0.28867513459481287
2016,9,132,32.592,28.98,14.216666666666667,Chasmogamous,0,15,15.583333333333334,15.5,16,0.08333333333333331,0.28867513459481287
2016,9,140,8.08,29.84,14.45,Chasmogamous,0,12,12.791666666666666,13,13.5,0.24810606060606066,0.498102459947811
2016,9,140,8.08,29.84,14.45,Cleistogamous,5,12,12.791666666666666,13,13.5,0.24810606060606066,0.498102459947811
2016,9,152,4.128,26.62,14.733333333333333,Cleistogamous,4,18.5,18.875,19,19.5,0.09659090909090909,0.3107907802540305
2016,9,152,4.128,26.62,14.733333333333333,Chasmogamous,0,18.5,18.875,19,19.5,0.09659090909090909,0.3107907802540305
2016,9,182,4.366,11.2,14.883333333333333,Chasmogamous,0,18.5,19.041666666666668,19,20,0.24810606060606058,0.49810245994781094
2016,9,182,4.366,11.2,14.883333333333333,Cleistogamous,1,18.5,19.041666666666668,19,20,0.24810606060606058,0.49810245994781094
2016,10,96,368.2,20.5,12.833333333333334,Cleistogamous,0,5,5.833333333333333,6,6,0.10606060606060606,0.3256694736394648
2016,10,96,368.2,20.5,12.833333333333334,Chasmogamous,6,5,5.833333333333333,6,6,0.10606060606060606,0.3256694736394648
2016,10,104,469,25.56,13.166666666666666,Cleistogamous,0,9,9.791666666666666,9.75,10.5,0.20265151515151517,0.45016831868926
2016,10,104,469,25.56,13.166666666666666,Chasmogamous,22,9,9.791666666666666,9.75,10.5,0.20265151515151517,0.45016831868926
2016,10,109,591.6,22.68,13.366666666666667,Chasmogamous,5,14.5,18,17.5,23,6.863636363636363,2.619854263816284
2016,10,109,591.6,22.68,13.366666666666667,Cleistogamous,0,14.5,18,17.5,23,6.863636363636363,2.619854263816284
2016,10,118,219.2,28.18,13.716666666666667,Chasmogamous,4,12.5,12.958333333333334,13,13.5,0.1571969696969697,0.39648073054937955
2016,10,118,219.2,28.18,13.716666666666667,Cleistogamous,0,12.5,12.958333333333334,13,13.5,0.1571969696969697,0.39648073054937955
2016,10,125,38.58,25.2,13.966666666666667,Cleistogamous,30,13.5,13.916666666666666,14,14.5,0.08333333333333331,0.28867513459481287
2016,10,125,38.58,25.2,13.966666666666667,Chasmogamous,0,13.5,13.916666666666666,14,14.5,0.08333333333333331,0.28867513459481287
2016,10,132,11.868,26.62,14.216666666666667,Cleistogamous,3,15.5,15.916666666666666,16,16.5,0.08333333333333331,0.28867513459481287
2016,10,132,11.868,26.62,14.216666666666667,Chasmogamous,0,15.5,15.916666666666666,16,16.5,0.08333333333333331,0.28867513459481287
2016,10,140,7.846,29.740000000000002,14.45,Chasmogamous,0,11.5,12.125,12.25,12.5,0.1875,0.4330127018922193
2016,10,140,7.846,29.740000000000002,14.45,Cleistogamous,4,11.5,12.125,12.25,12.5,0.1875,0.4330127018922193
2016,10,152,4.63,17.88,14.733333333333333,Chasmogamous,0,18.5,19.333333333333332,19.5,20,0.28787878787878785,0.5365433699886598
2016,10,152,4.63,17.88,14.733333333333333,Cleistogamous,2,18.5,19.333333333333332,19.5,20,0.28787878787878785,0.5365433699886598
2016,10,182,5.01,11.4,14.883333333333333,Cleistogamous,1,17.5,18.041666666666668,18,19,0.24810606060606055,0.4981024599478109
2016,10,182,5.01,11.4,14.883333333333333,Chasmogamous,0,17.5,18.041666666666668,18,19,0.24810606060606055,0.4981024599478109
2017,1,88,1163,38.6,12.516666666666667,Chasmogamous,1,9.5,10.5,10.5,11.5,1,1
2017,1,88,1163,38.6,12.516666666666667,Cleistogamous,0,9.5,10.5,10.5,11.5,1,1
2017,1,98,1048.76,41.4,12.95,Chasmogamous,2,11.5,14.166666666666666,15,16,5.583333333333333,2.362907813126304
2017,1,98,1048.76,41.4,12.95,Cleistogamous,0,11.5,14.166666666666666,15,16,5.583333333333333,2.362907813126304
2017,1,102,1249.2,41.6,13.116666666666667,Chasmogamous,0,14.5,16.666666666666668,17.5,18,3.583333333333334,1.8929694486000914
2017,1,102,1249.2,41.6,13.116666666666667,Cleistogamous,0,14.5,16.666666666666668,17.5,18,3.583333333333334,1.8929694486000914
2017,1,108,265,35.4,13.35,Chasmogamous,0,21,22.5,23,23.5,1.75,1.3228756555322954
2017,1,108,265,35.4,13.35,Cleistogamous,1,21,22.5,23,23.5,1.75,1.3228756555322954
2017,1,116,311,34.2,13.666666666666666,Cleistogamous,0,21.5,22.333333333333332,22.5,23,0.5833333333333333,0.7637626158259733
2017,1,116,311,34.2,13.666666666666666,Chasmogamous,0,21.5,22.333333333333332,22.5,23,0.5833333333333333,0.7637626158259733
2017,1,128,15.702,40,14.1,Chasmogamous,0,8.5,10.166666666666666,10.5,11.5,2.3333333333333335,1.5275252316519468
2017,1,128,15.702,40,14.1,Cleistogamous,0,8.5,10.166666666666666,10.5,11.5,2.3333333333333335,1.5275252316519468
2017,1,143,14.645999999999999,35.2,14.55,Chasmogamous,0,17,17.5,17.5,18,0.25,0.5
2017,1,143,14.645999999999999,35.2,14.55,Cleistogamous,1,17,17.5,17.5,18,0.25,0.5
2017,2,88,668.2,31,12.516666666666667,Chasmogamous,8,9.5,10.166666666666666,10,11,0.5833333333333333,0.7637626158259733
2017,2,88,668.2,31,12.516666666666667,Cleistogamous,0,9.5,10.166666666666666,10,11,0.5833333333333333,0.7637626158259733
2017,2,98,917.6,32,12.95,Cleistogamous,0,11,12.833333333333334,13.5,14,2.5833333333333335,1.6072751268321592
2017,2,98,917.6,32,12.95,Chasmogamous,5,11,12.833333333333334,13.5,14,2.5833333333333335,1.6072751268321592
2017,2,102,823.4,28.8,13.116666666666667,Chasmogamous,3,15.5,16,16,16.5,0.25,0.5
2017,2,102,823.4,28.8,13.116666666666667,Cleistogamous,0,15.5,16,16,16.5,0.25,0.5
2017,2,108,42.566,30.8,13.35,Chasmogamous,0,17.5,18.333333333333332,18.5,19,0.5833333333333333,0.7637626158259733
2017,2,108,42.566,30.8,13.35,Cleistogamous,3,17.5,18.333333333333332,18.5,19,0.5833333333333333,0.7637626158259733
2017,2,116,73.436,31.6,13.666666666666666,Chasmogamous,0,18.5,18.666666666666668,18.5,19,0.08333333333333334,0.2886751345948129
2017,2,116,73.436,31.6,13.666666666666666,Cleistogamous,4,18.5,18.666666666666668,18.5,19,0.08333333333333334,0.2886751345948129
2017,2,128,32.984,32.4,14.1,Cleistogamous,10,8,10.125,10.5,11.5,2.3958333333333335,1.547847968417226
2017,2,128,32.984,32.4,14.1,Chasmogamous,0,8,10.125,10.5,11.5,2.3958333333333335,1.547847968417226
2017,2,143,17.128,25,14.55,Chasmogamous,0,14.5,15.625,15.75,16.5,0.7291666666666666,0.8539125638299665
2017,2,143,17.128,25,14.55,Cleistogamous,6,14.5,15.625,15.75,16.5,0.7291666666666666,0.8539125638299665
2017,3,88,714,20,12.516666666666667,Chasmogamous,6,9.5,10,10,10.5,0.25,0.5
