county,Average
"Kanawha County, WV",28.305555555555557
"Kane County, IL",202.625
"Kankakee County, IL",39.75
"Kaufman County, TX",50.125
"Kendall County, IL",43.1875
"Kennebec County, ME",39.375
"Kenosha County, WI",60.291666666666664
"Kent County, DE",68.33333333333333
"Kent County, MI",352.0833333333333
"Kent County, RI",51.875
"Kenton County, KY",71.8125
"Kern County, CA",661.5
"King County, WA",970.1666666666666
"Kings County, CA",108
"Kings County, NY",1462.9166666666667
"Kitsap County, WA",111.66666666666667
"Knox County, TN",156.4375
"Kootenai County, ID",51.416666666666664
"La Crosse County, WI",47.125
"La Porte County, IN",38.916666666666664
"Lackawanna County, PA",75.5
"Lafayette Parish, LA",95
"Lake County, FL",103.64583333333333
"Lake County, IL",238.125
"Lake County, IN",198
"Lake County, OH",67.10416666666667
"Lancaster County, NE",124.89583333333333
"Lancaster County, PA",201.33333333333334
"Lane County, OR",94.33333333333333
"Larimer County, CO",135.72916666666666
"LaSalle County, IL",41.729166666666664
"Lebanon County, PA",52.4375
"Lee County, AL",60.5
"Lee County, FL",269.5833333333333
"Lehigh County, PA",160.89583333333334
"Leon County, FL",132.35416666666666
"Lexington County, SC",99.9375
"Licking County, OH",64.1875
"Linn County, IA",85.22916666666667
"Linn County, OR",47.541666666666664
"Litchfield County, CT",45.125
"Livingston County, MI",64.27083333333333
"Livingston Parish, LA",57.5
"Lorain County, OH",110.25
"Los Angeles County, CA",4952.208333333333
"Loudoun County, VA",180.41666666666666
"Lowndes County, GA",49.083333333333336
"Lubbock County, TX",153.97916666666666
"Lucas County, OH",170.14583333333334
"Luzerne County, PA",115.4375
"Lycoming County, PA",44.8125
"Macomb County, MI",319.5416666666667
"Macon County, IL",39.583333333333336
"Madera County, CA",89.60416666666667
"Madison County, AL",114.22916666666667
"Madison County, IL",78.14583333333333
"Madison County, IN",41.8125
"Mahoning County, OH",68.64583333333333
"Manatee County, FL",129.77083333333334
"Marathon County, WI",50.479166666666664
"Maricopa County, AZ",2005.5
"Marin County, CA",102.91666666666667
"Marion County, FL",119.10416666666667
"Marion County, IN",495.3333333333333
"Marion County, OR",155.5625
"Martin County, FL",44.520833333333336
"Maui County, HI",83.58333333333333
"McHenry County, IL",97.25
"McLean County, IL",56.75
"McLennan County, TX",119.85416666666667
"Mecklenburg County, NC",597.1041666666666
"Medina County, OH",54.375
"Merced County, CA",156.375
"Mercer County, NJ",155.8125
"Mercer County, PA",33.041666666666664
"Merrimack County, NH",46.229166666666664
"Mesa County, CO",64.22916666666667
"Miami County, OH",39.479166666666664
"Miami-Dade County, FL",1009.875
"Middlesex County, CT",41.395833333333336
"Middlesex County, MA",654.2916666666666
"Middlesex County, NJ",305.1041666666667
"Midland County, TX",87.70833333333333
"Milwaukee County, WI",501.2916666666667
"Minnehaha County, SD",106.16666666666667
"Missoula County, MT",34.333333333333336
"Mobile County, AL",193.95833333333334
"Mohave County, AZ",60.6875
"Monmouth County, NJ",213.85416666666666
"Monroe County, IN",48.041666666666664
"Monroe County, MI",44.5625
"Monroe County, NY",280.0833333333333
"Monroe County, PA",53.916666666666664
"Monterey County, CA",247.8125
"Montgomery County, AL",94.29166666666667
"Montgomery County, MD",471.5416666666667
"Montgomery County, OH",206.58333333333334
"Montgomery County, PA",335.625
"Montgomery County, TN",113.6875
"Montgomery County, TX",237.125
"Morgan County, AL",39.8125
"Morris County, NJ",149.83333333333334
"Multnomah County, OR",279.6875
"Muscogee County, GA",125.77083333333333
"Muskegon County, MI",71.8125
"Napa County, CA",55.0625
"Nassau County, NY",353.2708333333333
"Navajo County, AZ",53.958333333333336
"New Castle County, DE",190.75
"New Hanover County, NC",74.52083333333333
"New Haven County, CT",301.875
"New London County, CT",89.89583333333333
"New York County, NY",577.125
"Newport News city, VA",118.6875
"Niagara County, NY",56.333333333333336
"Norfolk city, VA",140.54166666666666
"Norfolk County, MA",286.9375
"Northampton County, PA",93.8125
"Nueces County, TX",125.16666666666667
"Oakland County, MI",532.5416666666666
"Ocean County, NJ",424.8958333333333
"Okaloosa County, FL",82.47916666666667
"Oklahoma County, OK",388.75
"Olmsted County, MN",81.02083333333333
"Oneida County, NY",80.35416666666667
"Onondaga County, NY",191.375
"Onslow County, NC",141.14583333333334
"Ontario County, NY",33.333333333333336
"Orange County, CA",1578.9375
"Orange County, FL",619.5208333333334
"Orange County, NC",43.208333333333336
"Orange County, NY",204.10416666666666
"Orleans Parish, LA",178.4375
"Osceola County, FL",168.47916666666666
"Oswego County, NY",38.291666666666664
"Ottawa County, MI",118.625
"Ouachita Parish, LA",74.16666666666667
"Outagamie County, WI",79.14583333333333
"Palm Beach County, FL",596.9166666666666
"Parker County, TX",43.020833333333336
"Pasco County, FL",171.79166666666666
"Passaic County, NJ",203.5
"Paulding County, GA",53.083333333333336
"Pennington County, SD",61.145833333333336
"Penobscot County, ME",49.520833333333336
"Peoria County, IL",87.79166666666667
"Philadelphia County, PA",760.4791666666666
"Pickens County, SC",42.583333333333336
"Pierce County, WA",474.7916666666667
"Pima County, AZ",377.7708333333333
"Pinal County, AZ",166.3125
"Pinellas County, FL",347.4583333333333
"Pitt County, NC",73.85416666666667
"Placer County, CA",151.875
"Plymouth County, MA",202.89583333333334
