county,Pop2010
"Richland County, OH",124475
"Ross County, OH",78064
"Sandusky County, OH",60944
"Scioto County, OH",79499
"Seneca County, OH",56745
"Shelby County, OH",49423
"Stark County, OH",375586
"Summit County, OH",541781
"Trumbull County, OH",210312
"Tuscarawas County, OH",92582
"Union County, OH",52300
"Van Wert County, OH",28744
"Vinton County, OH",13435
"Warren County, OH",212693
"Washington County, OH",61778
"Wayne County, OH",114520
"Williams County, OH",37642
"Wood County, OH",125488
"Wyandot County, OH",22615
"Adair County, OK",22683
"Alfalfa County, OK",5642
"Atoka County, OK",14182
"Beaver County, OK",5636
"Beckham County, OK",22119
"Blaine County, OK",11943
"Bryan County, OK",42416
"Caddo County, OK",29600
"Canadian County, OK",115541
"Carter County, OK",47557
"Cherokee County, OK",46987
"Choctaw County, OK",15205
"Cimarron County, OK",2475
"Cleveland County, OK",255755
"Coal County, OK",5925
"Comanche County, OK",124098
"Cotton County, OK",6193
"Craig County, OK",15029
"Creek County, OK",69967
"Custer County, OK",27469
"Delaware County, OK",41487
"Dewey County, OK",4810
"Ellis County, OK",4151
"Garfield County, OK",60580
"Garvin County, OK",27576
"Grady County, OK",52431
"Grant County, OK",4527
"Greer County, OK",6239
"Harmon County, OK",2922
"Harper County, OK",3685
"Haskell County, OK",12769
"Hughes County, OK",14003
"Jackson County, OK",26446
"Jefferson County, OK",6472
"Johnston County, OK",10957
"Kay County, OK",46562
"Kingfisher County, OK",15034
"Kiowa County, OK",9446
"Latimer County, OK",11154
"Le Flore County, OK",50384
"Lincoln County, OK",34273
"Logan County, OK",41848
"Love County, OK",9423
"McClain County, OK",34506
"McCurtain County, OK",33151
"McIntosh County, OK",20252
"Major County, OK",7527
"Marshall County, OK",15840
"Mayes County, OK",41259
"Murray County, OK",13488
"Muskogee County, OK",70990
"Noble County, OK",11561
"Nowata County, OK",10536
"Okfuskee County, OK",12191
"Oklahoma County, OK",718633
"Okmulgee County, OK",40069
"Osage County, OK",47472
"Ottawa County, OK",31848
"Pawnee County, OK",16577
"Payne County, OK",77350
"Pittsburg County, OK",45837
"Pontotoc County, OK",37492
"Pottawatomie County, OK",69442
"Pushmataha County, OK",11572
"Roger Mills County, OK",3647
"Rogers County, OK",86905
"Seminole County, OK",25482
"Sequoyah County, OK",42391
"Stephens County, OK",45048
"Texas County, OK",20640
"Tillman County, OK",7992
"Tulsa County, OK",603403
"Wagoner County, OK",73085
"Washington County, OK",50976
"Washita County, OK",11629
"Woods County, OK",8878
"Woodward County, OK",20081
"Baker County, OR",16134
"Benton County, OR",85579
"Clackamas County, OR",375992
"Clatsop County, OR",37039
"Columbia County, OR",49351
"Coos County, OR",63043
"Crook County, OR",20978
"Curry County, OR",22364
"Deschutes County, OR",157733
"Douglas County, OR",107667
"Gilliam County, OR",1871
"Grant County, OR",7445
"Harney County, OR",7422
"Hood River County, OR",22346
"Jackson County, OR",203206
"Jefferson County, OR",21720
"Josephine County, OR",82713
"Klamath County, OR",66380
"Lake County, OR",7895
"Lane County, OR",351715
"Lincoln County, OR",46034
"Linn County, OR",116672
"Malheur County, OR",31313
"Marion County, OR",315335
"Morrow County, OR",11173
"Multnomah County, OR",735334
"Polk County, OR",75403
"Sherman County, OR",1765
"Tillamook County, OR",25250
"Umatilla County, OR",75889
"Union County, OR",25748
"Wallowa County, OR",7008
"Wasco County, OR",25213
"Washington County, OR",529710
"Wheeler County, OR",1441
"Yamhill County, OR",99193
"Adams County, PA",101407
"Allegheny County, PA",1223348
"Armstrong County, PA",68941
"Beaver County, PA",170539
"Bedford County, PA",49762
"Berks County, PA",411442
"Blair County, PA",127089
"Bradford County, PA",62622
"Bucks County, PA",625249
"Butler County, PA",183862
"Cambria County, PA",143679
"Cameron County, PA",5085
"Carbon County, PA",65249
"Centre County, PA",153990
"Chester County, PA",498886
"Clarion County, PA",39988
"Clearfield County, PA",81642
"Clinton County, PA",39238
"Columbia County, PA",67295
"Crawford County, PA",88765
"Cumberland County, PA",235406
"Dauphin County, PA",268100
"Delaware County, PA",558979
"Elk County, PA",31946
"Erie County, PA",280566
"Fayette County, PA",136606
"Forest County, PA",7716
"Franklin County, PA",149618
"Fulton County, PA",14845
"Greene County, PA",38686
"Huntingdon County, PA",45913
"Indiana County, PA",88880
"Jefferson County, PA",45200
"Juniata County, PA",24636
"Lackawanna County, PA",214437
"Lancaster County, PA",519445
"Lawrence County, PA",91108
"Lebanon County, PA",133568
"Lehigh County, PA",349497
"Luzerne County, PA",320918
"Lycoming County, PA",116111
"McKean County, PA",43450
"Mercer County, PA",116638
"Mifflin County, PA",46682
"Monroe County, PA",169842
"Montgomery County, PA",799874
"Montour County, PA",18267
"Northampton County, PA",297735
"Northumberland County, PA",94528
"Perry County, PA",45969
"Philadelphia County, PA",1526006
"Pike County, PA",57369
"Potter County, PA",17457
"Schuylkill County, PA",148289
"Snyder County, PA",39702
"Somerset County, PA",77742
"Sullivan County, PA",6428
"Susquehanna County, PA",43356
"Tioga County, PA",41981
"Union County, PA",44947
"Venango County, PA",54984
"Warren County, PA",41815
"Washington County, PA",207820
"Wayne County, PA",52822
"Westmoreland County, PA",365169
"Wyoming County, PA",28276
"York County, PA",434972
"Bristol County, RI",49875
"Kent County, RI",166158
"Newport County, RI",82888
"Providence County, RI",626667
"Washington County, RI",126979
"Abbeville County, SC",25417
"Aiken County, SC",160099
"Allendale County, SC",10419
"Anderson County, SC",187126
"Bamberg County, SC",15987
"Barnwell County, SC",22621
"Beaufort County, SC",162233
"Berkeley County, SC",177843
"Calhoun County, SC",15175
"Charleston County, SC",350209
"Cherokee County, SC",55342
"Chester County, SC",33140
"Chesterfield County, SC",46734
"Clarendon County, SC",34971
"Colleton County, SC",38892
"Darlington County, SC",68681
"Dillon County, SC",32062
"Dorchester County, SC",136555
"Edgefield County, SC",26985
"Fairfield County, SC",23956
"Florence County, SC",136885
"Georgetown County, SC",60158
"Greenville County, SC",451225
"Greenwood County, SC",69661
"Hampton County, SC",21090
"Horry County, SC",269291
"Jasper County, SC",24777
"Kershaw County, SC",61697
"Lancaster County, SC",76652
"Laurens County, SC",66537
"Lee County, SC",19220
"Lexington County, SC",262391
"McCormick County, SC",10233
"Marion County, SC",33062
"Marlboro County, SC",28933
"Newberry County, SC",37508
"Oconee County, SC",74273
"Orangeburg County, SC",92501
"Pickens County, SC",119224
"Richland County, SC",384504
"Saluda County, SC",19875
"Spartanburg County, SC",284307
"Sumter County, SC",107456
"Union County, SC",28961
"Williamsburg County, SC",34423
"York County, SC",226073
"Aurora County, SD",2710
"Beadle County, SD",17398
"Bennett County, SD",3431
"Bon Homme County, SD",7070
"Brookings County, SD",31965
"Brown County, SD",36531
"Brule County, SD",5255
"Buffalo County, SD",1912
"Butte County, SD",10110
"Campbell County, SD",1466
"Charles Mix County, SD",9129
"Clark County, SD",3691
"Clay County, SD",13864
"Codington County, SD",27227
"Corson County, SD",4050
"Custer County, SD",8216
"Davison County, SD",19504
"Day County, SD",5710
"Deuel County, SD",4364
"Dewey County, SD",5301
"Douglas County, SD",3002
"Edmunds County, SD",4071
"Fall River County, SD",7094
"Faulk County, SD",2364
"Grant County, SD",7356
"Gregory County, SD",4271
"Haakon County, SD",1937
"Hamlin County, SD",5903
"Hand County, SD",3431
"Hanson County, SD",3331
"Harding County, SD",1255
"Hughes County, SD",17022
"Hutchinson County, SD",7343
"Hyde County, SD",1420
"Jackson County, SD",3031
"Jerauld County, SD",2071
"Jones County, SD",1006
"Kingsbury County, SD",5148
"Lake County, SD",11200
"Lawrence County, SD",24097
"Lincoln County, SD",44828
"Lyman County, SD",3755
"McCook County, SD",5618
"McPherson County, SD",2459
"Marshall County, SD",4656
"Meade County, SD",25434
"Mellette County, SD",2048
"Miner County, SD",2389
"Minnehaha County, SD",169468
"Moody County, SD",6486
"Oglala Lakota County, SD",13586
"Pennington County, SD",100948
"Perkins County, SD",2982
"Potter County, SD",2329
"Roberts County, SD",10149
"Sanborn County, SD",2355
"Spink County, SD",6415
"Stanley County, SD",2966
"Sully County, SD",1373
"Todd County, SD",9612
"Tripp County, SD",5644
"Turner County, SD",8347
"Union County, SD",14399
"Walworth County, SD",5438
"Yankton County, SD",22438
"Ziebach County, SD",2801
"Anderson County, TN",75129
"Bedford County, TN",45058
"Benton County, TN",16489
"Bledsoe County, TN",12876
"Blount County, TN",123010
"Bradley County, TN",98963
"Campbell County, TN",40716
"Cannon County, TN",13801
"Carroll County, TN",28522
"Carter County, TN",57424
"Cheatham County, TN",39105
"Chester County, TN",17131
"Claiborne County, TN",32213
"Clay County, TN",7861
"Cocke County, TN",35662
"Coffee County, TN",52796
"Crockett County, TN",14586
"Cumberland County, TN",56053
"Davidson County, TN",626681
"Decatur County, TN",11757
"DeKalb County, TN",18723
"Dickson County, TN",49666
"Dyer County, TN",38335
"Fayette County, TN",38413
"Fentress County, TN",17959
"Franklin County, TN",41052
"Gibson County, TN",49683
"Giles County, TN",29485
"Grainger County, TN",22657
"Greene County, TN",68831
"Grundy County, TN",13703
"Hamblen County, TN",62544
"Hamilton County, TN",336463
"Hancock County, TN",6819
"Hardeman County, TN",27253
"Hardin County, TN",26026
"Hawkins County, TN",56833
"Haywood County, TN",18787
"Henderson County, TN",27769
"Henry County, TN",32330
"Hickman County, TN",24690
"Houston County, TN",8426
"Humphreys County, TN",18538
"Jackson County, TN",11638
"Jefferson County, TN",51407
"Johnson County, TN",18244
"Knox County, TN",432226
"Lake County, TN",7832
"Lauderdale County, TN",27815
"Lawrence County, TN",41869
"Lewis County, TN",12161
"Lincoln County, TN",33361
"Loudon County, TN",48556
"McMinn County, TN",52266
"McNairy County, TN",26075
"Macon County, TN",22248
"Madison County, TN",98294
"Marion County, TN",28237
"Marshall County, TN",30617
"Maury County, TN",80956
"Meigs County, TN",11753
"Monroe County, TN",44519
"Montgomery County, TN",172331
"Moore County, TN",6362
"Morgan County, TN",21987
"Obion County, TN",31807
"Overton County, TN",22083
"Perry County, TN",7915
"Pickett County, TN",5077
"Polk County, TN",16825
"Putnam County, TN",72321
"Rhea County, TN",31809
"Roane County, TN",54181
"Robertson County, TN",66283
"Rutherford County, TN",262604
"Scott County, TN",22228
"Sequatchie County, TN",14112
"Sevier County, TN",89889
"Shelby County, TN",927644
"Smith County, TN",19166
"Stewart County, TN",13324
"Sullivan County, TN",156823
"Sumner County, TN",160645
"Tipton County, TN",61081
"Trousdale County, TN",7870
"Unicoi County, TN",18313
"Union County, TN",19109
"Van Buren County, TN",5548
"Warren County, TN",39839
"Washington County, TN",122979
"Wayne County, TN",17021
"Weakley County, TN",35021
"White County, TN",25841
"Williamson County, TN",183182
"Wilson County, TN",113993
"Anderson County, TX",58458
"Andrews County, TX",14786
"Angelina County, TX",86771
"Aransas County, TX",23158
"Archer County, TX",9054
"Armstrong County, TX",1901
"Atascosa County, TX",44911
"Austin County, TX",28417
"Bailey County, TX",7165
"Bandera County, TX",20485
"Bastrop County, TX",74171
"Baylor County, TX",3726
"Bee County, TX",31861
"Bell County, TX",310235
"Bexar County, TX",1714773
"Blanco County, TX",10497
"Borden County, TX",641
"Bosque County, TX",18212
"Bowie County, TX",92565
"Brazoria County, TX",313166
"Brazos County, TX",194851
"Brewster County, TX",9232
"Briscoe County, TX",1637
"Brooks County, TX",7223
"Brown County, TX",38106
"Burleson County, TX",17187
"Burnet County, TX",42750
"Caldwell County, TX",38066
"Calhoun County, TX",21381
"Callahan County, TX",13544
"Cameron County, TX",406220
"Camp County, TX",12401
"Carson County, TX",6182
"Cass County, TX",30464
"Castro County, TX",8062
"Chambers County, TX",35096
"Cherokee County, TX",50845
"Childress County, TX",7041
"Clay County, TX",10752
"Cochran County, TX",3127
"Coke County, TX",3320
"Coleman County, TX",8895
"Collin County, TX",782341
"Collingsworth County, TX",3057
"Colorado County, TX",20874
"Comal County, TX",108472
"Comanche County, TX",13974
"Concho County, TX",4087
"Cooke County, TX",38437
"Coryell County, TX",75388
"Cottle County, TX",1505
"Crane County, TX",4375
"Crockett County, TX",3719
"Crosby County, TX",6059
"Culberson County, TX",2398
"Dallam County, TX",6703
"Dallas County, TX",2368139
"Dawson County, TX",13833
"Deaf Smith County, TX",19372
"Delta County, TX",5231
"Denton County, TX",662614
"DeWitt County, TX",20097
"Dickens County, TX",2444
"Dimmit County, TX",9996
"Donley County, TX",3677
"Duval County, TX",11782
"Eastland County, TX",18583
"Ector County, TX",137130
"Edwards County, TX",2002
"Ellis County, TX",149610
"El Paso County, TX",800647
"Erath County, TX",37890
"Falls County, TX",17866
"Fannin County, TX",33915
"Fayette County, TX",24554
"Fisher County, TX",3974
"Floyd County, TX",6446
"Foard County, TX",1336
"Fort Bend County, TX",585375
"Franklin County, TX",10605
"Freestone County, TX",19816
"Frio County, TX",17217
"Gaines County, TX",17526
"Galveston County, TX",291309
"Garza County, TX",6461
"Gillespie County, TX",24837
"Glasscock County, TX",1226
"Goliad County, TX",7210
"Gonzales County, TX",19807
"Gray County, TX",22535
"Grayson County, TX",120877
"Gregg County, TX",121730
"Grimes County, TX",26604
"Guadalupe County, TX",131533
"Hale County, TX",36273
"Hall County, TX",3353
"Hamilton County, TX",8517
"Hansford County, TX",5613
"Hardeman County, TX",4139
"Hardin County, TX",54635
"Harris County, TX",4092459
"Harrison County, TX",65631
"Hartley County, TX",6062
"Haskell County, TX",5899
"Hays County, TX",157107
"Hemphill County, TX",3807
"Henderson County, TX",78532
"Hidalgo County, TX",774769
"Hill County, TX",35089
"Hockley County, TX",22935
"Hood County, TX",51182
"Hopkins County, TX",35161
"Houston County, TX",23732
"Howard County, TX",35012
"Hudspeth County, TX",3476
"Hunt County, TX",86129
"Hutchinson County, TX",22150
"Irion County, TX",1599
"Jack County, TX",9044
"Jackson County, TX",14075
"Jasper County, TX",35710
"Jeff Davis County, TX",2342
"Jefferson County, TX",252273
"Jim Hogg County, TX",5300
"Jim Wells County, TX",40838
"Johnson County, TX",150934
"Jones County, TX",20202
"Karnes County, TX",14824
"Kaufman County, TX",103350
"Kendall County, TX",33410
"Kenedy County, TX",416
"Kent County, TX",808
"Kerr County, TX",49625
"Kimble County, TX",4607
"King County, TX",286
"Kinney County, TX",3598
"Kleberg County, TX",32061
"Knox County, TX",3719
"Lamar County, TX",49793
"Lamb County, TX",13977
"Lampasas County, TX",19677
"La Salle County, TX",6886
"Lavaca County, TX",19263
"Lee County, TX",16612
"Leon County, TX",16801
"Liberty County, TX",75643
"Limestone County, TX",23384
"Lipscomb County, TX",3302
"Live Oak County, TX",11531
"Llano County, TX",19301
"Loving County, TX",82
"Lubbock County, TX",278831
"Lynn County, TX",5915
"McCulloch County, TX",8283
"McLennan County, TX",234906
"McMullen County, TX",707
"Madison County, TX",13664
"Marion County, TX",10546
"Martin County, TX",4799
"Mason County, TX",4012
"Matagorda County, TX",36702
"Maverick County, TX",54258
"Medina County, TX",46006
"Menard County, TX",2242
"Midland County, TX",136872
"Milam County, TX",24757
"Mills County, TX",4936
"Mitchell County, TX",9403
"Montague County, TX",19719
"Montgomery County, TX",455746
"Moore County, TX",21904
"Morris County, TX",12934
"Motley County, TX",1210
"Nacogdoches County, TX",64524
"Navarro County, TX",47735
"Newton County, TX",14445
"Nolan County, TX",15216
"Nueces County, TX",340223
"Ochiltree County, TX",10223
"Oldham County, TX",2052
"Orange County, TX",81837
"Palo Pinto County, TX",28111
"Panola County, TX",23796
"Parker County, TX",116927
"Parmer County, TX",10269
"Pecos County, TX",15507
"Polk County, TX",45413
"Potter County, TX",121073
"Presidio County, TX",7818
"Rains County, TX",10914
"Randall County, TX",120725
"Reagan County, TX",3367
"Real County, TX",3309
"Red River County, TX",12860
"Reeves County, TX",13783
"Refugio County, TX",7383
"Roberts County, TX",929
"Robertson County, TX",16622
"Rockwall County, TX",78337
"Runnels County, TX",10501
"Rusk County, TX",53330
"Sabine County, TX",10834
"San Augustine County, TX",8865
"San Jacinto County, TX",26384
"San Patricio County, TX",64804
"San Saba County, TX",6131
"Schleicher County, TX",3461
"Scurry County, TX",16921
"Shackelford County, TX",3378
"Shelby County, TX",25448
"Sherman County, TX",3034
"Smith County, TX",209714
"Somervell County, TX",8490
"Starr County, TX",60968
"Stephens County, TX",9630
"Sterling County, TX",1143
"Stonewall County, TX",1490
"Sutton County, TX",4128
"Swisher County, TX",7854
"Tarrant County, TX",1809034
"Taylor County, TX",131506
"Terrell County, TX",984
"Terry County, TX",12651
"Throckmorton County, TX",1641
"Titus County, TX",32334
"Tom Green County, TX",110224
"Travis County, TX",1024266
"Trinity County, TX",14585
"Tyler County, TX",21766
"Upshur County, TX",39309
"Upton County, TX",3355
"Uvalde County, TX",26405
"Val Verde County, TX",48879
"Van Zandt County, TX",52579
"Victoria County, TX",86793
"Walker County, TX",67861
"Waller County, TX",43205
"Ward County, TX",10658
"Washington County, TX",33718
"Webb County, TX",250304
"Wharton County, TX",41280
"Wheeler County, TX",5410
"Wichita County, TX",131500
"Wilbarger County, TX",13535
"Willacy County, TX",22134
"Williamson County, TX",422679
"Wilson County, TX",42918
"Winkler County, TX",7110
"Wise County, TX",59127
"Wood County, TX",41964
"Yoakum County, TX",7879
"Young County, TX",18550
"Zapata County, TX",14018
"Zavala County, TX",11677
"Beaver County, UT",6629
"Box Elder County, UT",49975
"Cache County, UT",112656
"Carbon County, UT",21403
"Daggett County, UT",1059
"Davis County, UT",306479
"Duchesne County, UT",18607
"Emery County, UT",10976
"Garfield County, UT",5172
"Grand County, UT",9225
"Iron County, UT",46163
"Juab County, UT",10246
"Kane County, UT",7125
"Millard County, UT",12503
"Morgan County, UT",9469
"Piute County, UT",1556
"Rich County, UT",2264
"Salt Lake County, UT",1029655
"San Juan County, UT",14746
"Sanpete County, UT",27822
"Sevier County, UT",20802
"Summit County, UT",36324
"Tooele County, UT",58218
"Uintah County, UT",32588
"Utah County, UT",516564
"Wasatch County, UT",23530
"Washington County, UT",138115
"Wayne County, UT",2778
"Weber County, UT",231236
"Addison County, VT",36821
"Bennington County, VT",37125
"Caledonia County, VT",31227
"Chittenden County, VT",156545
"Essex County, VT",6306
"Franklin County, VT",47746
"Grand Isle County, VT",6970
"Lamoille County, VT",24475
"Orange County, VT",28936
"Orleans County, VT",27231
"Rutland County, VT",61642
"Washington County, VT",59534
"Windham County, VT",44513
"Windsor County, VT",56670
"Accomack County, VA",33164
"Albemarle County, VA",98970
"Alleghany County, VA",16250
"Amelia County, VA",12690
"Amherst County, VA",32353
"Appomattox County, VA",14973
"Arlington County, VA",207627
"Augusta County, VA",73750
"Bath County, VA",4731
"Bedford County, VA",68676
"Bland County, VA",6824
"Botetourt County, VA",33148
"Brunswick County, VA",17434
"Buchanan County, VA",24098
"Buckingham County, VA",17146
"Campbell County, VA",54842
"Caroline County, VA",28545
"Carroll County, VA",30042
"Charles City County, VA",7256
"Charlotte County, VA",12586
"Chesterfield County, VA",316236
"Clarke County, VA",14034
"Craig County, VA",5190
"Culpeper County, VA",46689
"Cumberland County, VA",10052
"Dickenson County, VA",15903
"Dinwiddie County, VA",28001
"Essex County, VA",11151
"Fairfax County, VA",1081726
"Fauquier County, VA",65203
"Floyd County, VA",15279
"Fluvanna County, VA",25691
"Franklin County, VA",56159
"Frederick County, VA",78305
"Giles County, VA",17286
"Gloucester County, VA",36858
"Goochland County, VA",21717
"Grayson County, VA",15533
"Greene County, VA",18403
"Greensville County, VA",12243
"Halifax County, VA",36241
"Hanover County, VA",99863
"Henrico County, VA",306935
"Henry County, VA",54151
"Highland County, VA",2321
"Isle of Wight County, VA",35270
"James City County, VA",67009
"King and Queen County, VA",6945
"King George County, VA",23584
"King William County, VA",15935
"Lancaster County, VA",11391
"Lee County, VA",25587
"Loudoun County, VA",312311
"Louisa County, VA",33153
"Lunenburg County, VA",12914
"Madison County, VA",13308
"Mathews County, VA",8978
"Mecklenburg County, VA",32727
"Middlesex County, VA",10959
"Montgomery County, VA",94392
"Nelson County, VA",15020
"New Kent County, VA",18429
"Northampton County, VA",12389
"Northumberland County, VA",12330
"Nottoway County, VA",15853
"Orange County, VA",33481
"Page County, VA",24042
"Patrick County, VA",18490
"Pittsylvania County, VA",63506
"Powhatan County, VA",28046
"Prince Edward County, VA",23368
"Prince George County, VA",35725
"Prince William County, VA",402002
"Pulaski County, VA",34872
"Rappahannock County, VA",7373
"Richmond County, VA",9254
"Roanoke County, VA",92376
"Rockbridge County, VA",22307
"Rockingham County, VA",76314
"Russell County, VA",28897
"Scott County, VA",23177
"Shenandoah County, VA",41993
"Smyth County, VA",32208
"Southampton County, VA",18570
"Spotsylvania County, VA",122397
"Stafford County, VA",128961
"Surry County, VA",7058
"Sussex County, VA",12087
"Tazewell County, VA",45078
"Warren County, VA",37575
"Washington County, VA",54876
"Westmoreland County, VA",17454
"Wise County, VA",41452
"Wythe County, VA",29235
"York County, VA",65464
"Alexandria city, VA",139966
"Bristol city, VA",17835
"Buena Vista city, VA",6650
"Charlottesville city, VA",43475
"Chesapeake city, VA",222209
"Colonial Heights city, VA",17411
"Covington city, VA",5961
"Danville city, VA",43055
"Emporia city, VA",5927
"Fairfax city, VA",22565
"Falls Church city, VA",12332
"Franklin city, VA",8582
"Fredericksburg city, VA",24286
"Galax city, VA",7042
"Hampton city, VA",137436
"Harrisonburg city, VA",48914
"Hopewell city, VA",22591
"Lexington city, VA",7042
"Lynchburg city, VA",75568
"Manassas city, VA",37821
"Manassas Park city, VA",14273
"Martinsville city, VA",13821
"Newport News city, VA",180719
"Norfolk city, VA",242803
"Norton city, VA",3958
"Petersburg city, VA",32420
"Poquoson city, VA",12150
"Portsmouth city, VA",95535
"Radford city, VA",16408
"Richmond city, VA",204214
"Roanoke city, VA",97032
"Salem city, VA",24802
"Staunton city, VA",23746
"Suffolk city, VA",84585
"Virginia Beach city, VA",437994
"Waynesboro city, VA",21006
"Williamsburg city, VA",14068
"Winchester city, VA",26203
"Adams County, WA",18728
"Asotin County, WA",21623
"Benton County, WA",175177
"Chelan County, WA",72453
"Clallam County, WA",71404
"Clark County, WA",425363
"Columbia County, WA",4078
"Cowlitz County, WA",102410
"Douglas County, WA",38431
"Ferry County, WA",7551
"Franklin County, WA",78163
"Garfield County, WA",2266
"Grant County, WA",89120
"Grays Harbor County, WA",72797
"Island County, WA",78506
"Jefferson County, WA",29872
"King County, WA",1931249
"Kitsap County, WA",251133
"Kittitas County, WA",40915
"Klickitat County, WA",20318
"Lewis County, WA",75455
"Lincoln County, WA",10570
"Mason County, WA",60699
"Okanogan County, WA",41120
"Pacific County, WA",20920
"Pend Oreille County, WA",13001
"Pierce County, WA",795225
"San Juan County, WA",15769
"Skagit County, WA",116901
"Skamania County, WA",11066
"Snohomish County, WA",713335
"Spokane County, WA",471221
"Stevens County, WA",43531
"Thurston County, WA",252264
"Wahkiakum County, WA",3978
"Walla Walla County, WA",58781
"Whatcom County, WA",201140
"Whitman County, WA",44776
"Yakima County, WA",243231
"Barbour County, WV",16589
"Berkeley County, WV",104169
"Boone County, WV",24629
"Braxton County, WV",14523
"Brooke County, WV",24069
"Cabell County, WV",96319
"Calhoun County, WV",7627
"Clay County, WV",9386
"Doddridge County, WV",8202
"Fayette County, WV",46039
"Gilmer County, WV",8693
"Grant County, WV",11937
"Greenbrier County, WV",35480
"Hampshire County, WV",23964
"Hancock County, WV",30676
"Hardy County, WV",14025
"Harrison County, WV",69099
"Jackson County, WV",29211
"Jefferson County, WV",53498
"Kanawha County, WV",193063
"Lewis County, WV",16372
"Lincoln County, WV",21720
"Logan County, WV",36743
"McDowell County, WV",22113
"Marion County, WV",56418
"Marshall County, WV",33107
"Mason County, WV",27324
"Mercer County, WV",62264
"Mineral County, WV",28212
"Mingo County, WV",26839
"Monongalia County, WV",96189
"Monroe County, WV",13502
"Morgan County, WV",17541
"Nicholas County, WV",26233
"Ohio County, WV",44443
"Pendleton County, WV",7695
"Pleasants County, WV",7605
"Pocahontas County, WV",8719
"Preston County, WV",33520
"Putnam County, WV",55486
"Raleigh County, WV",78859
"Randolph County, WV",29405
"Ritchie County, WV",10449
"Roane County, WV",14926
"Summers County, WV",13927
"Taylor County, WV",16895
"Tucker County, WV",7141
"Tyler County, WV",9208
"Upshur County, WV",24254
"Wayne County, WV",42481
"Webster County, WV",9154
"Wetzel County, WV",16583
"Wirt County, WV",5717
"Wood County, WV",86956
"Wyoming County, WV",23796
"Adams County, WI",20875
"Ashland County, WI",16157
"Barron County, WI",45870
"Bayfield County, WI",15014
"Brown County, WI",248007
"Buffalo County, WI",13587
"Burnett County, WI",15457
"Calumet County, WI",48971
"Chippewa County, WI",62415
"Clark County, WI",34690
"Columbia County, WI",56833
"Crawford County, WI",16644
"Dane County, WI",488073
"Dodge County, WI",88759
"Door County, WI",27785
"Douglas County, WI",44159
"Dunn County, WI",43857
"Eau Claire County, WI",98736
"Florence County, WI",4423
"Fond du Lac County, WI",101633
"Forest County, WI",9304
"Grant County, WI",51208
"Green County, WI",36842
"Green Lake County, WI",19051
"Iowa County, WI",23687
"Iron County, WI",5916
"Jackson County, WI",20449
"Jefferson County, WI",83686
"Juneau County, WI",26664
"Kenosha County, WI",166426
"Kewaunee County, WI",20574
"La Crosse County, WI",114638
"Lafayette County, WI",16836
"Langlade County, WI",19977
"Lincoln County, WI",28743
"Manitowoc County, WI",81442
"Marathon County, WI",134063
"Marinette County, WI",41749
"Marquette County, WI",15404
"Menominee County, WI",4232
"Milwaukee County, WI",947735
"Monroe County, WI",44673
"Oconto County, WI",37660
"Oneida County, WI",35998
"Outagamie County, WI",176695
"Ozaukee County, WI",86395
"Pepin County, WI",7469
"Pierce County, WI",41019
"Polk County, WI",44205
"Portage County, WI",70019
"Price County, WI",14159
"Racine County, WI",195408
"Richland County, WI",18021
"Rock County, WI",160331
"Rusk County, WI",14755
"St. Croix County, WI",84345
"Sauk County, WI",61976
"Sawyer County, WI",16557
"Shawano County, WI",41949
"Sheboygan County, WI",115507
"Taylor County, WI",20689
"Trempealeau County, WI",28816
"Vernon County, WI",29773
"Vilas County, WI",21430
"Walworth County, WI",102228
"Washburn County, WI",15911
"Washington County, WI",131887
"Waukesha County, WI",389891
"Waupaca County, WI",52410
"Waushara County, WI",24496
"Winnebago County, WI",166994
"Wood County, WI",74749
"Albany County, WY",36299
"Big Horn County, WY",11668
"Campbell County, WY",46133
"Carbon County, WY",15885
"Converse County, WY",13833
"Crook County, WY",7083
"Fremont County, WY",40123
"Goshen County, WY",13249
"Hot Springs County, WY",4812
"Johnson County, WY",8569
"Laramie County, WY",91738
"Lincoln County, WY",18106
"Natrona County, WY",75450
"Niobrara County, WY",2484
"Park County, WY",28205
"Platte County, WY",8667
"Sheridan County, WY",29116
"Sublette County, WY",10247
"Sweetwater County, WY",43806
"Teton County, WY",21294
"Uinta County, WY",21118
"Washakie County, WY",8533
"Weston County, WY",7208
