county,year,month,births
"Henry County, GA",2019,October,115
"Henry County, GA",2019,November,115
"Henry County, GA",2019,December,125
"Houston County, GA",2016,January,71
"Houston County, GA",2016,February,59
"Houston County, GA",2016,March,63
"Houston County, GA",2016,April,59
"Houston County, GA",2016,May,67
"Houston County, GA",2016,June,57
"Houston County, GA",2016,July,68
"Houston County, GA",2016,August,84
"Houston County, GA",2016,September,75
"Houston County, GA",2016,October,80
"Houston County, GA",2016,November,73
"Houston County, GA",2016,December,75
"Houston County, GA",2017,January,73
"Houston County, GA",2017,February,73
"Houston County, GA",2017,March,81
"Houston County, GA",2017,April,65
"Houston County, GA",2017,May,74
"Houston County, GA",2017,June,64
"Houston County, GA",2017,July,73
"Houston County, GA",2017,August,81
"Houston County, GA",2017,September,85
"Houston County, GA",2017,October,81
"Houston County, GA",2017,November,61
"Houston County, GA",2017,December,61
"Houston County, GA",2018,January,74
"Houston County, GA",2018,February,71
"Houston County, GA",2018,March,75
"Houston County, GA",2018,April,68
"Houston County, GA",2018,May,78
"Houston County, GA",2018,June,74
"Houston County, GA",2018,July,70
"Houston County, GA",2018,August,66
"Houston County, GA",2018,September,74
"Houston County, GA",2018,October,60
"Houston County, GA",2018,November,69
"Houston County, GA",2018,December,64
"Houston County, GA",2019,January,80
"Houston County, GA",2019,February,67
"Houston County, GA",2019,March,61
"Houston County, GA",2019,April,71
"Houston County, GA",2019,May,61
"Houston County, GA",2019,June,60
"Houston County, GA",2019,July,78
"Houston County, GA",2019,August,89
"Houston County, GA",2019,September,68
"Houston County, GA",2019,October,67
"Houston County, GA",2019,November,60
"Houston County, GA",2019,December,65
"Lowndes County, GA",2016,January,55
"Lowndes County, GA",2016,February,43
"Lowndes County, GA",2016,March,56
"Lowndes County, GA",2016,April,38
"Lowndes County, GA",2016,May,44
"Lowndes County, GA",2016,June,44
"Lowndes County, GA",2016,July,53
"Lowndes County, GA",2016,August,54
"Lowndes County, GA",2016,September,51
"Lowndes County, GA",2016,October,46
"Lowndes County, GA",2016,November,43
"Lowndes County, GA",2016,December,56
"Lowndes County, GA",2017,January,54
"Lowndes County, GA",2017,February,56
"Lowndes County, GA",2017,March,53
"Lowndes County, GA",2017,April,34
"Lowndes County, GA",2017,May,47
"Lowndes County, GA",2017,June,40
"Lowndes County, GA",2017,July,58
"Lowndes County, GA",2017,August,56
"Lowndes County, GA",2017,September,41
"Lowndes County, GA",2017,October,48
"Lowndes County, GA",2017,November,65
"Lowndes County, GA",2017,December,41
"Lowndes County, GA",2018,January,54
"Lowndes County, GA",2018,February,47
"Lowndes County, GA",2018,March,50
"Lowndes County, GA",2018,April,50
"Lowndes County, GA",2018,May,43
"Lowndes County, GA",2018,June,46
"Lowndes County, GA",2018,July,53
"Lowndes County, GA",2018,August,46
"Lowndes County, GA",2018,September,45
"Lowndes County, GA",2018,October,71
"Lowndes County, GA",2018,November,48
"Lowndes County, GA",2018,December,43
"Lowndes County, GA",2019,January,76
"Lowndes County, GA",2019,February,44
"Lowndes County, GA",2019,March,46
"Lowndes County, GA",2019,April,38
"Lowndes County, GA",2019,May,62
"Lowndes County, GA",2019,June,42
"Lowndes County, GA",2019,July,42
"Lowndes County, GA",2019,August,46
"Lowndes County, GA",2019,September,56
"Lowndes County, GA",2019,October,44
"Lowndes County, GA",2019,November,37
"Lowndes County, GA",2019,December,51
"Muscogee County, GA",2016,January,100
"Muscogee County, GA",2016,February,127
"Muscogee County, GA",2016,March,113
"Muscogee County, GA",2016,April,96
"Muscogee County, GA",2016,May,117
"Muscogee County, GA",2016,June,128
"Muscogee County, GA",2016,July,135
"Muscogee County, GA",2016,August,125
"Muscogee County, GA",2016,September,126
"Muscogee County, GA",2016,October,123
"Muscogee County, GA",2016,November,129
"Muscogee County, GA",2016,December,124
"Muscogee County, GA",2017,January,124
"Muscogee County, GA",2017,February,109
"Muscogee County, GA",2017,March,96
"Muscogee County, GA",2017,April,101
"Muscogee County, GA",2017,May,129
"Muscogee County, GA",2017,June,106
"Muscogee County, GA",2017,July,152
"Muscogee County, GA",2017,August,143
"Muscogee County, GA",2017,September,128
"Muscogee County, GA",2017,October,110
"Muscogee County, GA",2017,November,129
"Muscogee County, GA",2017,December,137
"Muscogee County, GA",2018,January,133
"Muscogee County, GA",2018,February,132
"Muscogee County, GA",2018,March,125
"Muscogee County, GA",2018,April,128
"Muscogee County, GA",2018,May,160
"Muscogee County, GA",2018,June,125
"Muscogee County, GA",2018,July,158
"Muscogee County, GA",2018,August,161
"Muscogee County, GA",2018,September,126
"Muscogee County, GA",2018,October,92
"Muscogee County, GA",2018,November,122
"Muscogee County, GA",2018,December,136
"Muscogee County, GA",2019,January,129
"Muscogee County, GA",2019,February,109
"Muscogee County, GA",2019,March,125
"Muscogee County, GA",2019,April,126
"Muscogee County, GA",2019,May,127
"Muscogee County, GA",2019,June,138
"Muscogee County, GA",2019,July,120
"Muscogee County, GA",2019,August,136
"Muscogee County, GA",2019,September,167
"Muscogee County, GA",2019,October,138
"Muscogee County, GA",2019,November,110
"Muscogee County, GA",2019,December,107
"Paulding County, GA",2016,January,51
"Paulding County, GA",2016,February,56
"Paulding County, GA",2016,March,49
"Paulding County, GA",2016,April,52
"Paulding County, GA",2016,May,57
"Paulding County, GA",2016,June,56
"Paulding County, GA",2016,July,69
"Paulding County, GA",2016,August,50
"Paulding County, GA",2016,September,66
"Paulding County, GA",2016,October,45
"Paulding County, GA",2016,November,44
"Paulding County, GA",2016,December,51
"Paulding County, GA",2017,January,47
"Paulding County, GA",2017,February,46
"Paulding County, GA",2017,March,50
"Paulding County, GA",2017,April,56
"Paulding County, GA",2017,May,42
"Paulding County, GA",2017,June,54
"Paulding County, GA",2017,July,46
"Paulding County, GA",2017,August,56
"Paulding County, GA",2017,September,53
"Paulding County, GA",2017,October,49
"Paulding County, GA",2017,November,56
"Paulding County, GA",2017,December,48
"Paulding County, GA",2018,January,55
"Paulding County, GA",2018,February,53
"Paulding County, GA",2018,March,66
"Paulding County, GA",2018,April,60
"Paulding County, GA",2018,May,54
"Paulding County, GA",2018,June,62
"Paulding County, GA",2018,July,52
"Paulding County, GA",2018,August,70
"Paulding County, GA",2018,September,56
"Paulding County, GA",2018,October,45
"Paulding County, GA",2018,November,53
"Paulding County, GA",2018,December,50
"Paulding County, GA",2019,January,56
"Paulding County, GA",2019,February,39
"Paulding County, GA",2019,March,47
"Paulding County, GA",2019,April,43
"Paulding County, GA",2019,May,38
"Paulding County, GA",2019,June,56
"Paulding County, GA",2019,July,64
"Paulding County, GA",2019,August,53
"Paulding County, GA",2019,September,70
"Paulding County, GA",2019,October,52
"Paulding County, GA",2019,November,56
"Paulding County, GA",2019,December,49
"Richmond County, GA",2016,January,130
"Richmond County, GA",2016,February,121
"Richmond County, GA",2016,March,105
"Richmond County, GA",2016,April,78
"Richmond County, GA",2016,May,109
"Richmond County, GA",2016,June,112
"Richmond County, GA",2016,July,103
"Richmond County, GA",2016,August,119
"Richmond County, GA",2016,September,103
"Richmond County, GA",2016,October,95
"Richmond County, GA",2016,November,122
"Richmond County, GA",2016,December,113
"Richmond County, GA",2017,January,105
"Richmond County, GA",2017,February,92
"Richmond County, GA",2017,March,97
"Richmond County, GA",2017,April,100
"Richmond County, GA",2017,May,109
"Richmond County, GA",2017,June,110
"Richmond County, GA",2017,July,113
"Richmond County, GA",2017,August,121
"Richmond County, GA",2017,September,131
"Richmond County, GA",2017,October,118
"Richmond County, GA",2017,November,122
"Richmond County, GA",2017,December,102
"Richmond County, GA",2018,January,121
"Richmond County, GA",2018,February,117
"Richmond County, GA",2018,March,97
"Richmond County, GA",2018,April,91
"Richmond County, GA",2018,May,117
"Richmond County, GA",2018,June,128
"Richmond County, GA",2018,July,117
"Richmond County, GA",2018,August,123
"Richmond County, GA",2018,September,105
"Richmond County, GA",2018,October,112
"Richmond County, GA",2018,November,116
"Richmond County, GA",2018,December,132
"Richmond County, GA",2019,January,144
"Richmond County, GA",2019,February,106
"Richmond County, GA",2019,March,130
"Richmond County, GA",2019,April,122
"Richmond County, GA",2019,May,118
"Richmond County, GA",2019,June,113
"Richmond County, GA",2019,July,135
"Richmond County, GA",2019,August,127
"Richmond County, GA",2019,September,143
"Richmond County, GA",2019,October,127
"Richmond County, GA",2019,November,123
"Richmond County, GA",2019,December,151
"Whitfield County, GA",2016,January,42
"Whitfield County, GA",2016,February,35
"Whitfield County, GA",2016,March,45
"Whitfield County, GA",2016,April,37
"Whitfield County, GA",2016,May,61
"Whitfield County, GA",2016,June,40
"Whitfield County, GA",2016,July,65
"Whitfield County, GA",2016,August,60
"Whitfield County, GA",2016,September,42
"Whitfield County, GA",2016,October,52
"Whitfield County, GA",2016,November,45
"Whitfield County, GA",2016,December,49
"Whitfield County, GA",2017,January,43
"Whitfield County, GA",2017,February,45
"Whitfield County, GA",2017,March,52
"Whitfield County, GA",2017,April,42
"Whitfield County, GA",2017,May,42
"Whitfield County, GA",2017,June,57
"Whitfield County, GA",2017,July,54
"Whitfield County, GA",2017,August,55
"Whitfield County, GA",2017,September,52
"Whitfield County, GA",2017,October,50
"Whitfield County, GA",2017,November,45
"Whitfield County, GA",2017,December,54
"Whitfield County, GA",2018,January,51
"Whitfield County, GA",2018,February,42
"Whitfield County, GA",2018,March,56
"Whitfield County, GA",2018,April,43
"Whitfield County, GA",2018,May,38
"Whitfield County, GA",2018,June,50
"Whitfield County, GA",2018,July,47
"Whitfield County, GA",2018,August,48
"Whitfield County, GA",2018,September,46
"Whitfield County, GA",2018,October,46
"Whitfield County, GA",2018,November,50
"Whitfield County, GA",2018,December,44
"Whitfield County, GA",2019,January,58
"Whitfield County, GA",2019,February,47
"Whitfield County, GA",2019,March,50
"Whitfield County, GA",2019,April,45
"Whitfield County, GA",2019,May,39
"Whitfield County, GA",2019,June,44
"Whitfield County, GA",2019,July,50
"Whitfield County, GA",2019,August,41
"Whitfield County, GA",2019,September,51
"Whitfield County, GA",2019,October,43
"Whitfield County, GA",2019,November,52
"Whitfield County, GA",2019,December,45
"Hawaii County, HI",2016,January,108
"Hawaii County, HI",2016,February,81
"Hawaii County, HI",2016,March,110
"Hawaii County, HI",2016,April,116
"Hawaii County, HI",2016,May,102
"Hawaii County, HI",2016,June,96
"Hawaii County, HI",2016,July,113
"Hawaii County, HI",2016,August,107
"Hawaii County, HI",2016,September,126
"Hawaii County, HI",2016,October,109
"Hawaii County, HI",2016,November,82
"Hawaii County, HI",2016,December,90
"Hawaii County, HI",2017,January,91
"Hawaii County, HI",2017,February,98
"Hawaii County, HI",2017,March,99
"Hawaii County, HI",2017,April,79
"Hawaii County, HI",2017,May,111
"Hawaii County, HI",2017,June,98
"Hawaii County, HI",2017,July,104
"Hawaii County, HI",2017,August,80
"Hawaii County, HI",2017,September,93
"Hawaii County, HI",2017,October,114
"Hawaii County, HI",2017,November,112
"Hawaii County, HI",2017,December,109
"Hawaii County, HI",2018,January,114
"Hawaii County, HI",2018,February,99
"Hawaii County, HI",2018,March,96
"Hawaii County, HI",2018,April,110
"Hawaii County, HI",2018,May,99
"Hawaii County, HI",2018,June,96
"Hawaii County, HI",2018,July,99
"Hawaii County, HI",2018,August,93
"Hawaii County, HI",2018,September,104
"Hawaii County, HI",2018,October,94
"Hawaii County, HI",2018,November,101
"Hawaii County, HI",2018,December,94
"Hawaii County, HI",2019,January,67
"Hawaii County, HI",2019,February,79
"Hawaii County, HI",2019,March,78
"Hawaii County, HI",2019,April,63
"Hawaii County, HI",2019,May,86
"Hawaii County, HI",2019,June,85
"Hawaii County, HI",2019,July,88
"Hawaii County, HI",2019,August,78
"Hawaii County, HI",2019,September,73
"Hawaii County, HI",2019,October,63
"Hawaii County, HI",2019,November,93
"Hawaii County, HI",2019,December,77
"Honolulu County, HI",2016,January,608
"Honolulu County, HI",2016,February,593
"Honolulu County, HI",2016,March,578
"Honolulu County, HI",2016,April,589
"Honolulu County, HI",2016,May,571
"Honolulu County, HI",2016,June,574
"Honolulu County, HI",2016,July,590
"Honolulu County, HI",2016,August,632
"Honolulu County, HI",2016,September,603
"Honolulu County, HI",2016,October,615
"Honolulu County, HI",2016,November,562
"Honolulu County, HI",2016,December,577
"Honolulu County, HI",2017,January,636
"Honolulu County, HI",2017,February,562
"Honolulu County, HI",2017,March,630
"Honolulu County, HI",2017,April,608
"Honolulu County, HI",2017,May,586
"Honolulu County, HI",2017,June,504
"Honolulu County, HI",2017,July,578
"Honolulu County, HI",2017,August,643
"Honolulu County, HI",2017,September,642
"Honolulu County, HI",2017,October,631
"Honolulu County, HI",2017,November,626
"Honolulu County, HI",2017,December,609
"Honolulu County, HI",2018,January,562
"Honolulu County, HI",2018,February,504
"Honolulu County, HI",2018,March,606
"Honolulu County, HI",2018,April,593
"Honolulu County, HI",2018,May,619
"Honolulu County, HI",2018,June,552
"Honolulu County, HI",2018,July,539
"Honolulu County, HI",2018,August,581
"Honolulu County, HI",2018,September,618
"Honolulu County, HI",2018,October,587
"Honolulu County, HI",2018,November,509
"Honolulu County, HI",2018,December,564
"Honolulu County, HI",2019,January,531
"Honolulu County, HI",2019,February,486
"Honolulu County, HI",2019,March,507
"Honolulu County, HI",2019,April,463
"Honolulu County, HI",2019,May,562
"Honolulu County, HI",2019,June,481
"Honolulu County, HI",2019,July,526
"Honolulu County, HI",2019,August,499
"Honolulu County, HI",2019,September,584
"Honolulu County, HI",2019,October,505
"Honolulu County, HI",2019,November,514
"Honolulu County, HI",2019,December,452
"Maui County, HI",2016,January,102
"Maui County, HI",2016,February,106
"Maui County, HI",2016,March,104
"Maui County, HI",2016,April,95
"Maui County, HI",2016,May,115
"Maui County, HI",2016,June,86
"Maui County, HI",2016,July,138
"Maui County, HI",2016,August,97
"Maui County, HI",2016,September,109
"Maui County, HI",2016,October,106
"Maui County, HI",2016,November,94
"Maui County, HI",2016,December,90
"Maui County, HI",2017,January,98
"Maui County, HI",2017,February,73
"Maui County, HI",2017,March,74
"Maui County, HI",2017,April,91
"Maui County, HI",2017,May,76
"Maui County, HI",2017,June,79
"Maui County, HI",2017,July,103
"Maui County, HI",2017,August,100
"Maui County, HI",2017,September,79
"Maui County, HI",2017,October,91
"Maui County, HI",2017,November,63
"Maui County, HI",2017,December,72
"Maui County, HI",2018,January,72
"Maui County, HI",2018,February,61
"Maui County, HI",2018,March,76
"Maui County, HI",2018,April,61
"Maui County, HI",2018,May,88
"Maui County, HI",2018,June,80
"Maui County, HI",2018,July,71
"Maui County, HI",2018,August,78
"Maui County, HI",2018,September,78
"Maui County, HI",2018,October,77
"Maui County, HI",2018,November,75
"Maui County, HI",2018,December,69
"Maui County, HI",2019,January,68
"Maui County, HI",2019,February,71
"Maui County, HI",2019,March,59
"Maui County, HI",2019,April,73
"Maui County, HI",2019,May,77
"Maui County, HI",2019,June,66
"Maui County, HI",2019,July,66
"Maui County, HI",2019,August,91
"Maui County, HI",2019,September,69
"Maui County, HI",2019,October,86
"Maui County, HI",2019,November,79
"Maui County, HI",2019,December,80
"Ada County, ID",2016,January,179
"Ada County, ID",2016,February,178
"Ada County, ID",2016,March,208
"Ada County, ID",2016,April,185
"Ada County, ID",2016,May,192
"Ada County, ID",2016,June,185
"Ada County, ID",2016,July,207
"Ada County, ID",2016,August,194
"Ada County, ID",2016,September,203
"Ada County, ID",2016,October,213
"Ada County, ID",2016,November,164
"Ada County, ID",2016,December,205
"Ada County, ID",2017,January,191
"Ada County, ID",2017,February,184
"Ada County, ID",2017,March,197
"Ada County, ID",2017,April,191
"Ada County, ID",2017,May,202
"Ada County, ID",2017,June,169
"Ada County, ID",2017,July,190
"Ada County, ID",2017,August,193
"Ada County, ID",2017,September,186
"Ada County, ID",2017,October,196
"Ada County, ID",2017,November,176
"Ada County, ID",2017,December,168
"Ada County, ID",2018,January,169
"Ada County, ID",2018,February,150
"Ada County, ID",2018,March,173
"Ada County, ID",2018,April,203
"Ada County, ID",2018,May,197
"Ada County, ID",2018,June,172
"Ada County, ID",2018,July,182
"Ada County, ID",2018,August,197
"Ada County, ID",2018,September,173
"Ada County, ID",2018,October,171
"Ada County, ID",2018,November,164
"Ada County, ID",2018,December,135
"Ada County, ID",2019,January,155
"Ada County, ID",2019,February,148
"Ada County, ID",2019,March,192
"Ada County, ID",2019,April,167
"Ada County, ID",2019,May,164
"Ada County, ID",2019,June,190
"Ada County, ID",2019,July,199
"Ada County, ID",2019,August,183
"Ada County, ID",2019,September,171
"Ada County, ID",2019,October,150
"Ada County, ID",2019,November,156
"Ada County, ID",2019,December,169
"Bonneville County, ID",2016,January,68
"Bonneville County, ID",2016,February,57
"Bonneville County, ID",2016,March,71
"Bonneville County, ID",2016,April,71
"Bonneville County, ID",2016,May,67
"Bonneville County, ID",2016,June,87
"Bonneville County, ID",2016,July,75
"Bonneville County, ID",2016,August,84
"Bonneville County, ID",2016,September,66
"Bonneville County, ID",2016,October,60
"Bonneville County, ID",2016,November,60
"Bonneville County, ID",2016,December,61
"Bonneville County, ID",2017,January,57
"Bonneville County, ID",2017,February,56
"Bonneville County, ID",2017,March,70
"Bonneville County, ID",2017,April,71
"Bonneville County, ID",2017,May,80
"Bonneville County, ID",2017,June,77
"Bonneville County, ID",2017,July,68
"Bonneville County, ID",2017,August,65
"Bonneville County, ID",2017,September,83
"Bonneville County, ID",2017,October,59
"Bonneville County, ID",2017,November,58
"Bonneville County, ID",2017,December,44
"Bonneville County, ID",2018,January,55
"Bonneville County, ID",2018,February,52
"Bonneville County, ID",2018,March,64
"Bonneville County, ID",2018,April,55
"Bonneville County, ID",2018,May,75
"Bonneville County, ID",2018,June,66
"Bonneville County, ID",2018,July,65
"Bonneville County, ID",2018,August,56
"Bonneville County, ID",2018,September,58
"Bonneville County, ID",2018,October,63
"Bonneville County, ID",2018,November,51
"Bonneville County, ID",2018,December,59
"Bonneville County, ID",2019,January,48
"Bonneville County, ID",2019,February,58
"Bonneville County, ID",2019,March,65
"Bonneville County, ID",2019,April,54
"Bonneville County, ID",2019,May,55
"Bonneville County, ID",2019,June,61
"Bonneville County, ID",2019,July,76
"Bonneville County, ID",2019,August,72
"Bonneville County, ID",2019,September,77
"Bonneville County, ID",2019,October,60
"Bonneville County, ID",2019,November,45
"Bonneville County, ID",2019,December,48
"Canyon County, ID",2016,January,133
"Canyon County, ID",2016,February,118
"Canyon County, ID",2016,March,116
"Canyon County, ID",2016,April,110
"Canyon County, ID",2016,May,127
"Canyon County, ID",2016,June,141
"Canyon County, ID",2016,July,120
"Canyon County, ID",2016,August,141
"Canyon County, ID",2016,September,135
"Canyon County, ID",2016,October,139
"Canyon County, ID",2016,November,123
"Canyon County, ID",2016,December,130
"Canyon County, ID",2017,January,126
"Canyon County, ID",2017,February,117
"Canyon County, ID",2017,March,133
"Canyon County, ID",2017,April,125
"Canyon County, ID",2017,May,127
"Canyon County, ID",2017,June,133
"Canyon County, ID",2017,July,131
"Canyon County, ID",2017,August,119
"Canyon County, ID",2017,September,148
"Canyon County, ID",2017,October,124
"Canyon County, ID",2017,November,110
"Canyon County, ID",2017,December,111
"Canyon County, ID",2018,January,108
"Canyon County, ID",2018,February,80
"Canyon County, ID",2018,March,122
"Canyon County, ID",2018,April,106
"Canyon County, ID",2018,May,109
"Canyon County, ID",2018,June,114
"Canyon County, ID",2018,July,123
"Canyon County, ID",2018,August,113
"Canyon County, ID",2018,September,107
"Canyon County, ID",2018,October,113
"Canyon County, ID",2018,November,106
"Canyon County, ID",2018,December,103
"Canyon County, ID",2019,January,94
"Canyon County, ID",2019,February,84
"Canyon County, ID",2019,March,111
"Canyon County, ID",2019,April,86
"Canyon County, ID",2019,May,112
"Canyon County, ID",2019,June,106
"Canyon County, ID",2019,July,137
"Canyon County, ID",2019,August,111
"Canyon County, ID",2019,September,103
"Canyon County, ID",2019,October,115
"Canyon County, ID",2019,November,95
"Canyon County, ID",2019,December,98
"Kootenai County, ID",2016,January,47
"Kootenai County, ID",2016,February,41
"Kootenai County, ID",2016,March,63
"Kootenai County, ID",2016,April,48
"Kootenai County, ID",2016,May,45
"Kootenai County, ID",2016,June,49
"Kootenai County, ID",2016,July,52
"Kootenai County, ID",2016,August,59
"Kootenai County, ID",2016,September,65
"Kootenai County, ID",2016,October,60
"Kootenai County, ID",2016,November,52
"Kootenai County, ID",2016,December,42
"Kootenai County, ID",2017,January,59
"Kootenai County, ID",2017,February,45
"Kootenai County, ID",2017,March,49
"Kootenai County, ID",2017,April,51
"Kootenai County, ID",2017,May,73
"Kootenai County, ID",2017,June,64
"Kootenai County, ID",2017,July,62
"Kootenai County, ID",2017,August,42
"Kootenai County, ID",2017,September,47
"Kootenai County, ID",2017,October,54
"Kootenai County, ID",2017,November,40
"Kootenai County, ID",2017,December,52
"Kootenai County, ID",2018,January,55
"Kootenai County, ID",2018,February,57
"Kootenai County, ID",2018,March,53
"Kootenai County, ID",2018,April,51
"Kootenai County, ID",2018,May,50
"Kootenai County, ID",2018,June,50
"Kootenai County, ID",2018,July,43
"Kootenai County, ID",2018,August,45
"Kootenai County, ID",2018,September,70
"Kootenai County, ID",2018,October,41
"Kootenai County, ID",2018,November,38
"Kootenai County, ID",2018,December,41
"Kootenai County, ID",2019,January,47
"Kootenai County, ID",2019,February,54
"Kootenai County, ID",2019,March,46
"Kootenai County, ID",2019,April,47
"Kootenai County, ID",2019,May,51
"Kootenai County, ID",2019,June,77
"Kootenai County, ID",2019,July,55
"Kootenai County, ID",2019,August,44
"Kootenai County, ID",2019,September,52
"Kootenai County, ID",2019,October,47
"Kootenai County, ID",2019,November,48
"Kootenai County, ID",2019,December,45
"Champaign County, IL",2016,January,88
"Champaign County, IL",2016,February,95
"Champaign County, IL",2016,March,83
"Champaign County, IL",2016,April,94
"Champaign County, IL",2016,May,87
"Champaign County, IL",2016,June,86
"Champaign County, IL",2016,July,90
"Champaign County, IL",2016,August,84
"Champaign County, IL",2016,September,85
"Champaign County, IL",2016,October,84
"Champaign County, IL",2016,November,76
"Champaign County, IL",2016,December,81
"Champaign County, IL",2017,January,72
"Champaign County, IL",2017,February,69
"Champaign County, IL",2017,March,82
"Champaign County, IL",2017,April,77
"Champaign County, IL",2017,May,75
"Champaign County, IL",2017,June,87
"Champaign County, IL",2017,July,87
"Champaign County, IL",2017,August,91
"Champaign County, IL",2017,September,81
"Champaign County, IL",2017,October,80
"Champaign County, IL",2017,November,66
"Champaign County, IL",2017,December,66
"Champaign County, IL",2018,January,84
"Champaign County, IL",2018,February,92
"Champaign County, IL",2018,March,82
"Champaign County, IL",2018,April,95
"Champaign County, IL",2018,May,78
"Champaign County, IL",2018,June,72
"Champaign County, IL",2018,July,54
"Champaign County, IL",2018,August,79
"Champaign County, IL",2018,September,83
"Champaign County, IL",2018,October,73
"Champaign County, IL",2018,November,72
"Champaign County, IL",2018,December,75
"Champaign County, IL",2019,January,57
"Champaign County, IL",2019,February,60
"Champaign County, IL",2019,March,81
"Champaign County, IL",2019,April,63
"Champaign County, IL",2019,May,88
"Champaign County, IL",2019,June,52
"Champaign County, IL",2019,July,66
"Champaign County, IL",2019,August,93
"Champaign County, IL",2019,September,80
"Champaign County, IL",2019,October,76
"Champaign County, IL",2019,November,70
"Champaign County, IL",2019,December,76
"Cook County, IL",2016,January,2533
"Cook County, IL",2016,February,2469
"Cook County, IL",2016,March,2541
"Cook County, IL",2016,April,2498
"Cook County, IL",2016,May,2701
"Cook County, IL",2016,June,2670
"Cook County, IL",2016,July,2901
"Cook County, IL",2016,August,2753
"Cook County, IL",2016,September,2634
"Cook County, IL",2016,October,2562
"Cook County, IL",2016,November,2431
"Cook County, IL",2016,December,2482
"Cook County, IL",2017,January,2395
"Cook County, IL",2017,February,2267
"Cook County, IL",2017,March,2438
"Cook County, IL",2017,April,2361
"Cook County, IL",2017,May,2536
"Cook County, IL",2017,June,2497
"Cook County, IL",2017,July,2667
"Cook County, IL",2017,August,2769
"Cook County, IL",2017,September,2603
"Cook County, IL",2017,October,2579
"Cook County, IL",2017,November,2265
"Cook County, IL",2017,December,2398
"Cook County, IL",2018,January,2265
"Cook County, IL",2018,February,2069
"Cook County, IL",2018,March,2308
"Cook County, IL",2018,April,2286
"Cook County, IL",2018,May,2373
"Cook County, IL",2018,June,2280
"Cook County, IL",2018,July,2464
"Cook County, IL",2018,August,2415
"Cook County, IL",2018,September,2286
"Cook County, IL",2018,October,2162
"Cook County, IL",2018,November,2040
"Cook County, IL",2018,December,2016
"Cook County, IL",2019,January,2036
"Cook County, IL",2019,February,1827
"Cook County, IL",2019,March,1999
"Cook County, IL",2019,April,1895
"Cook County, IL",2019,May,2095
"Cook County, IL",2019,June,2027
"Cook County, IL",2019,July,2231
"Cook County, IL",2019,August,2306
"Cook County, IL",2019,September,2065
"Cook County, IL",2019,October,1892
"Cook County, IL",2019,November,1858
"Cook County, IL",2019,December,1839
"DeKalb County, IL",2016,January,40
"DeKalb County, IL",2016,February,23
"DeKalb County, IL",2016,March,37
"DeKalb County, IL",2016,April,32
"DeKalb County, IL",2016,May,27
"DeKalb County, IL",2016,June,39
"DeKalb County, IL",2016,July,39
"DeKalb County, IL",2016,August,30
"DeKalb County, IL",2016,September,30
"DeKalb County, IL",2016,October,41
"DeKalb County, IL",2016,November,27
"DeKalb County, IL",2016,December,28
"DeKalb County, IL",2017,January,36
"DeKalb County, IL",2017,February,29
"DeKalb County, IL",2017,March,40
"DeKalb County, IL",2017,April,34
"DeKalb County, IL",2017,May,37
"DeKalb County, IL",2017,June,30
"DeKalb County, IL",2017,July,39
"DeKalb County, IL",2017,August,48
"DeKalb County, IL",2017,September,31
"DeKalb County, IL",2017,October,32
"DeKalb County, IL",2017,November,41
"DeKalb County, IL",2017,December,21
"DeKalb County, IL",2018,January,22
"DeKalb County, IL",2018,February,31
"DeKalb County, IL",2018,March,29
"DeKalb County, IL",2018,April,34
"DeKalb County, IL",2018,May,23
"DeKalb County, IL",2018,June,39
"DeKalb County, IL",2018,July,41
"DeKalb County, IL",2018,August,41
"DeKalb County, IL",2018,September,57
"DeKalb County, IL",2018,October,31
"DeKalb County, IL",2018,November,29
"DeKalb County, IL",2018,December,37
"DeKalb County, IL",2019,January,38
"DeKalb County, IL",2019,February,33
"DeKalb County, IL",2019,March,37
"DeKalb County, IL",2019,April,39
"DeKalb County, IL",2019,May,29
"DeKalb County, IL",2019,June,37
"DeKalb County, IL",2019,July,33
"DeKalb County, IL",2019,August,32
"DeKalb County, IL",2019,September,41
"DeKalb County, IL",2019,October,29
"DeKalb County, IL",2019,November,35
"DeKalb County, IL",2019,December,39
"DuPage County, IL",2016,January,360
"DuPage County, IL",2016,February,335
"DuPage County, IL",2016,March,377
"DuPage County, IL",2016,April,379
"DuPage County, IL",2016,May,398
"DuPage County, IL",2016,June,400
"DuPage County, IL",2016,July,406
"DuPage County, IL",2016,August,448
"DuPage County, IL",2016,September,357
"DuPage County, IL",2016,October,371
"DuPage County, IL",2016,November,322
"DuPage County, IL",2016,December,362
"DuPage County, IL",2017,January,323
"DuPage County, IL",2017,February,301
"DuPage County, IL",2017,March,352
"DuPage County, IL",2017,April,355
"DuPage County, IL",2017,May,389
"DuPage County, IL",2017,June,376
"DuPage County, IL",2017,July,365
"DuPage County, IL",2017,August,406
"DuPage County, IL",2017,September,368
"DuPage County, IL",2017,October,364
"DuPage County, IL",2017,November,344
"DuPage County, IL",2017,December,336
"DuPage County, IL",2018,January,326
"DuPage County, IL",2018,February,274
"DuPage County, IL",2018,March,356
"DuPage County, IL",2018,April,376
"DuPage County, IL",2018,May,348
"DuPage County, IL",2018,June,321
"DuPage County, IL",2018,July,383
"DuPage County, IL",2018,August,384
"DuPage County, IL",2018,September,366
"DuPage County, IL",2018,October,327
"DuPage County, IL",2018,November,312
"DuPage County, IL",2018,December,306
"DuPage County, IL",2019,January,298
"DuPage County, IL",2019,February,271
