county,N,Mean,Var,Ratio,Pop2010
"Calhoun County, MI",48,62.916666666666664,104.9290780141844,0.5996113551875634,136146
"Cambria County, PA",48,39.729166666666664,78.79742907801419,0.5041936917425618,143679
"Camden County, NJ",48,242.58333333333334,526.3333333333334,0.4608929702343255,513657
"Cameron County, TX",48,186.9375,828.1875,0.22571881367443966,406220
"Canadian County, OK",48,53.25,79.08510638297872,0.6733252623083131,115541
"Canyon County, ID",48,116.52083333333333,234.42508865248226,0.4970493303558767,188923
"Carroll County, GA",48,55.625,71.98404255319149,0.7727407078992093,110527
"Carroll County, MD",48,55.895833333333336,103.58466312056737,0.5396149550467079,167134
"Cass County, ND",48,95.29166666666667,222.50886524822695,0.428260090043428,149778
"Catawba County, NC",48,68.66666666666667,71.41843971631205,0.9614697120158889,154358
