Species,Category
Pliotrema warreni,Least Concern
Mollisquama parini,Least Concern
Centrophorus isodon,Endangered
Etmopterus sheikoi,Least Concern
Centroscyllium granulatum,Vulnerable
Oxynotus caribbaeus,Least Concern
Scymnodalatias oligodon,Least Concern
Apristurus canutus,Least Concern
Apristurus nasutus,Least Concern
Apristurus stenseni,Least Concern
Bathyraja longicauda,Least Concern
Heterodontus quoyi,Least Concern
Mustelus dorsalis,Vulnerable
Pseudobatos planiceps,Vulnerable
Schroederichthys chilensis,Least Concern
Sphyrna corona,Critically Endangered
Sympterygia brevicaudata,Near Threatened
Apristurus manis,Least Concern
Anacanthobatis marmorata,Near Threatened
Indobatis ori,Least Concern
Apristurus saldanha,Least Concern
Bythaelurus clevai,Data Deficient
Bythaelurus lutarius,Data Deficient
Cephaloscyllium sufflans,Near Threatened
Dipturus campbelli,Near Threatened
Dipturus lanceorostratus,Data Deficient
Dipturus pullopunctatus,Least Concern
Dipturus stenorhynchus,Data Deficient
Eridacnis sinuans,Least Concern
Halaelurus lineatus,Least Concern
Halaelurus natalensis,Vulnerable
Neoraja stehmanni,Least Concern
Pseudoginglymostoma brevicaudatum,Critically Endangered
Rajella caudaspinosa,Least Concern
Rajella ravidula,Least Concern
Torpedo fuscomaculata,Data Deficient
Apristurus riveri,Least Concern
Psammobatis normani,Least Concern
Psammobatis rudis,Least Concern
Sympterygia lima,Least Concern
Urobatis marmoratus,Data Deficient
Urotrygon chilensis,Near Threatened
Aculeola nigra,Near Threatened
Gurgesiella furvescens,Least Concern
